pmcid,score,pmcid,score,pmcid,score
3286741,0.57866,3286741,0.57866,3286741,0.57866
2980629,0.44034564,2980629,0.44034564,2980629,0.44034564
3716810,0.42696023,3716810,0.42696023,3716810,0.42696023
2627450,0.4105656,2627450,0.4105656,2627450,0.4105656
3493738,0.4091057,3493738,0.4091057,3493738,0.4091057
3797929,0.40377492,3797929,0.40377492,3797929,0.40377492
3240785,0.4004852,3240785,0.4004852,3240785,0.4004852
3030803,0.38396436,3030803,0.38396436,3030803,0.38396436
3401934,0.37456223,3401934,0.37456223,3401934,0.37456223
3185926,0.36605176,3185926,0.36605176,3185926,0.36605176
3015657,0.33007824,3015657,0.33007824,3015657,0.33007824
2990396,0.32458702,2990396,0.32458702,2990396,0.32458702
3492969,0.31776878,3492969,0.31776878,3492969,0.31776878
3151000,0.31511685,3151000,0.31511685,3151000,0.31511685
2596112,0.31491783,2596112,0.31491783,2596112,0.31491783
3111170,0.3123319,3111170,0.3123319,3111170,0.3123319
3214684,0.31164023,3214684,0.31164023,3214684,0.31164023
2691532,0.31004497,2691532,0.31004497,2691532,0.31004497
2777911,0.30923295,2777911,0.30923295,2777911,0.30923295
3296170,0.3079005,3296170,0.3079005,3296170,0.3079005
3625595,0.29772565,3625595,0.29772565,3625595,0.29772565
3597902,0.29340172,3597902,0.29340172,3597902,0.29340172
3797560,0.28825256,3797560,0.28825256,3797560,0.28825256
3048090,0.2836955,3048090,0.2836955,3048090,0.2836955
2279110,0.27851662,2279110,0.27851662,2279110,0.27851662
3459741,0.26932237,3459741,0.26932237,3459741,0.26932237
3588206,0.26424968,3588206,0.26424968,3588206,0.26424968
3405338,0.2614214,3405338,0.2614214,3405338,0.2614214
3666422,0.2601883,3666422,0.2601883,3666422,0.2601883
3572359,0.25915772,3572359,0.25915772,3572359,0.25915772
3016124,0.2568887,3016124,0.2568887,3016124,0.2568887
3724199,0.25530535,3724199,0.25530535,3724199,0.25530535
3083058,0.253408,3083058,0.253408,3083058,0.253408
3724134,0.25148708,3724134,0.25148708,3724134,0.25148708
3683440,0.24632706,3683440,0.24632706,3683440,0.24632706
