pmcid,score,pmcid,score,pmcid,score
3179583,0.3816485,3179583,0.3816485,3179583,0.3816485
3385367,0.3121491,3385367,0.3121491,3385367,0.3121491
3033095,0.29652482,3033095,0.29652482,3033095,0.29652482
3366531,0.28919202,3366531,0.28919202,3366531,0.28919202
3793530,0.28558323,3793530,0.28558323,3793530,0.28558323
3247096,0.28507033,3247096,0.28507033,3247096,0.28507033
2135600,0.28198096,2135600,0.28198096,2135600,0.28198096
2686703,0.27650192,2686703,0.27650192,2686703,0.27650192
3663325,0.27549052,3663325,0.27549052,3663325,0.27549052
3320300,0.2739907,3320300,0.2739907,3320300,0.2739907
3162819,0.27016276,3162819,0.27016276,3162819,0.27016276
2634608,0.2680341,2634608,0.2680341,2634608,0.2680341
3777376,0.26495937,3777376,0.26495937,3777376,0.26495937
3551508,0.26461625,3551508,0.26461625,3551508,0.26461625
3681687,0.2627528,3681687,0.2627528,3681687,0.2627528
3564029,0.2582806,3564029,0.2582806,3564029,0.2582806
1276800,0.2565055,1276800,0.2565055,1276800,0.2565055
2135574,0.24859172,2135574,0.24859172,2135574,0.24859172
3060837,0.24248895,3060837,0.24248895,3060837,0.24248895
3849794,0.24234769,3849794,0.24234769,3849794,0.24234769
2636786,0.24200052,2636786,0.24200052,2636786,0.24200052
3114546,0.24066633,3114546,0.24066633,3114546,0.24066633
3425265,0.23800533,3425265,0.23800533,3425265,0.23800533
3810733,0.22968017,3810733,0.22968017,3810733,0.22968017
3320288,0.22822517,3320288,0.22822517,3320288,0.22822517
2974995,0.22815344,2974995,0.22815344,2974995,0.22815344
3086217,0.22670397,3086217,0.22670397,3086217,0.22670397
2732089,0.22524832,2732089,0.22524832,2732089,0.22524832
3305576,0.22499245,3305576,0.22499245,3305576,0.22499245
2815980,0.22340392,2815980,0.22340392,2815980,0.22340392
2771826,0.21714383,2771826,0.21714383,2771826,0.21714383
3593508,0.21653615,3593508,0.21653615,3593508,0.21653615
3537559,0.21651731,3537559,0.21651731,3537559,0.21651731
2572046,0.21418208,2572046,0.21418208,2572046,0.21418208
2876698,0.2131376,2876698,0.2131376,2876698,0.2131376
3031002,0.21220323,3031002,0.21220323,3031002,0.21220323
2904905,0.2113258,2904905,0.2113258,2904905,0.2113258
2783073,0.21080045,2783073,0.21080045,2783073,0.21080045
3463053,0.20989344,3463053,0.20989344,3463053,0.20989344
2828091,0.20793022,2828091,0.20793022,2828091,0.20793022
3301050,0.20521198,3301050,0.20521198,3301050,0.20521198
1112595,0.20264065,1112595,0.20264065,1112595,0.20264065
3294360,0.20191552,3294360,0.20191552,3294360,0.20191552
2459199,0.20058891,2459199,0.20058891,2459199,0.20058891
3665130,0.20021659,3665130,0.20021659,3665130,0.20021659
3081356,0.19987932,3081356,0.19987932,3081356,0.19987932
3626614,0.19959673,3626614,0.19959673,3626614,0.19959673
2526531,0.19955397,2526531,0.19955397,2526531,0.19955397
3277335,0.19880618,3277335,0.19880618,3277335,0.19880618
3232426,0.19876528,3232426,0.19876528,3232426,0.19876528
2600375,0.19872703,2600375,0.19872703,2600375,0.19872703
3259402,0.19838077,3259402,0.19838077,3259402,0.19838077
2769415,0.19792849,2769415,0.19792849,2769415,0.19792849
2700454,0.19779116,2700454,0.19779116,2700454,0.19779116
2687693,0.19770038,2687693,0.19770038,2687693,0.19770038
2846739,0.19718538,2846739,0.19718538,2846739,0.19718538
3702368,0.19649696,3702368,0.19649696,3702368,0.19649696
3512619,0.19583726,3512619,0.19583726,3512619,0.19583726
2868877,0.19503301,2868877,0.19503301,2868877,0.19503301
3563701,0.19476068,3563701,0.19476068,3563701,0.19476068
3446154,0.19452195,3446154,0.19452195,3446154,0.19452195
3032622,0.19442157,3032622,0.19442157,3032622,0.19442157
2972757,0.19381557,2972757,0.19381557,2972757,0.19381557
3215638,0.19332233,3215638,0.19332233,3215638,0.19332233
3767271,0.1931228,3767271,0.1931228,3767271,0.1931228
2147019,0.19260758,2147019,0.19260758,2147019,0.19260758
2958005,0.19235204,2958005,0.19235204,2958005,0.19235204
3250002,0.1913506,3250002,0.1913506,3250002,0.1913506
3286783,0.19056268,3286783,0.19056268,3286783,0.19056268
2918823,0.19050583,2918823,0.19050583,2918823,0.19050583
3340991,0.19004048,3340991,0.19004048,3340991,0.19004048
3033840,0.18980774,3033840,0.18980774,3033840,0.18980774
2941259,0.18928692,2941259,0.18928692,2941259,0.18928692
3484592,0.18890354,3484592,0.18890354,3484592,0.18890354
2647170,0.18877855,2647170,0.18877855,2647170,0.18877855
3038958,0.18821809,3038958,0.18821809,3038958,0.18821809
3416909,0.18807727,3416909,0.18807727,3416909,0.18807727
2799965,0.18780367,2799965,0.18780367,2799965,0.18780367
3342722,0.18729348,3342722,0.18729348,3342722,0.18729348
3000162,0.18707477,3000162,0.18707477,3000162,0.18707477
3248338,0.1868335,3248338,0.1868335,3248338,0.1868335
3343251,0.18613264,3343251,0.18613264,3343251,0.18613264
