pmcid,score,pmcid,score,pmcid,score
3179583,0.23583232,3179583,0.23583232,3179583,0.23583232
3385367,0.19578084,3385367,0.19578084,3385367,0.19578084
3033095,0.18147722,3033095,0.18147722,3033095,0.18147722
3366531,0.18037316,3366531,0.18037316,3366531,0.18037316
3793530,0.17733169,3793530,0.17733169,3793530,0.17733169
3247096,0.17540832,3247096,0.17540832,3247096,0.17540832
2135600,0.17261152,2135600,0.17261152,2135600,0.17261152
2686703,0.17146614,2686703,0.17146614,2686703,0.17146614
3663325,0.1690402,3663325,0.1690402,3663325,0.1690402
3162819,0.16841337,3162819,0.16841337,3162819,0.16841337
3320300,0.16749243,3320300,0.16749243,3320300,0.16749243
2634608,0.1657375,2634608,0.1657375,2634608,0.1657375
3551508,0.16457334,3551508,0.16457334,3551508,0.16457334
2135574,0.1639237,2135574,0.1639237,2135574,0.1639237
3777376,0.16304663,3777376,0.16304663,3777376,0.16304663
3681687,0.1613836,3681687,0.1613836,3681687,0.1613836
3564029,0.16112772,3564029,0.16112772,3564029,0.16112772
1276800,0.15783578,1276800,0.15783578,1276800,0.15783578
3060837,0.15282974,3060837,0.15282974,3060837,0.15282974
3849794,0.15091957,3849794,0.15091957,3849794,0.15091957
2636786,0.15061691,2636786,0.15061691,2636786,0.15061691
3114546,0.1494386,3114546,0.1494386,3114546,0.1494386
3425265,0.14813137,3425265,0.14813137,3425265,0.14813137
3810733,0.14292118,3810733,0.14292118,3810733,0.14292118
3320288,0.14067708,3320288,0.14067708,3320288,0.14067708
2732089,0.14037834,2732089,0.14037834,2732089,0.14037834
2974995,0.13946475,2974995,0.13946475,2974995,0.13946475
3086217,0.13903958,3086217,0.13903958,3086217,0.13903958
3305576,0.13822603,3305576,0.13822603,3305576,0.13822603
2815980,0.13773645,2815980,0.13773645,2815980,0.13773645
2771826,0.13478816,2771826,0.13478816,2771826,0.13478816
2572046,0.13330057,2572046,0.13330057,2572046,0.13330057
3593508,0.1331209,3593508,0.1331209,3593508,0.1331209
3537559,0.13303134,3537559,0.13303134,3537559,0.13303134
2876698,0.13081504,2876698,0.13081504,2876698,0.13081504
2783073,0.13073789,2783073,0.13073789,2783073,0.13073789
3463053,0.13047719,3463053,0.13047719,3463053,0.13047719
3031002,0.13043731,3031002,0.13043731,3031002,0.13043731
2904905,0.12972854,2904905,0.12972854,2904905,0.12972854
2828091,0.12771808,2828091,0.12771808,2828091,0.12771808
3301050,0.12659624,3301050,0.12659624,3301050,0.12659624
3665130,0.12461392,3665130,0.12461392,3665130,0.12461392
1112595,0.12412472,1112595,0.12412472,1112595,0.12412472
3294360,0.12409519,3294360,0.12409519,3294360,0.12409519
2526531,0.123753354,2526531,0.123753354,2526531,0.123753354
2600375,0.12348961,2600375,0.12348961,2600375,0.12348961
2459199,0.12346051,2459199,0.12346051,2459199,0.12346051
3484592,0.123277806,3484592,0.123277806,3484592,0.123277806
3259402,0.1231969,3259402,0.1231969,3259402,0.1231969
2769415,0.12314145,2769415,0.12314145,2769415,0.12314145
2687693,0.12305224,2687693,0.12305224,2687693,0.12305224
3081356,0.122839056,3081356,0.122839056,3081356,0.122839056
2700454,0.122790776,2700454,0.122790776,2700454,0.122790776
3232426,0.12268731,3232426,0.12268731,3232426,0.12268731
2846739,0.122668,2846739,0.122668,2846739,0.122668
3626614,0.122500435,3626614,0.122500435,3626614,0.122500435
3277335,0.12220089,3277335,0.12220089,3277335,0.12220089
3032622,0.12144103,3032622,0.12144103,3032622,0.12144103
2972757,0.121199846,2972757,0.121199846,2972757,0.121199846
2868877,0.120997354,2868877,0.120997354,2868877,0.120997354
3702368,0.12059278,3702368,0.12059278,3702368,0.12059278
