pmcid	title	abstract	body
2931126	0.53335464	0.09608132	0.09698968
2809071	0.5023546	0.19986777	0.15459383
3507669	0.47605255	0.1417803	0.10664657
3012278	0.4661953	0.12391054	0.0680631
3201105	0.4490674	0.10935893	0.13365082
2740083	0.44419548	0.24709761	0.15744528
2760694	0.44374216	0.08650428	0.105652556
3381498	0.4340224	0.10608649	0.13321334
3081356	0.42780414	0.16194338	0.11924647
3466160	0.42721048	0.130621	0.08490521
2957620	0.42615733	0.18124291	0.1246452
3275841	0.4251947	0.13503735	0.10060639
2709971	0.4111303	0.14495431	0.1021061
3205072	0.3992001	0.16820392	0.12895167
2740112	0.3955959	0.17080642	0.10730588
3250004	0.38766178	0.07449935	0.09573844
3666420	0.3864635	0.14196818	0.08674967
3632500	0.3864388	0.07330859	0.073928714
3446054	0.38524646	0.12875912	0.08219614
3628229	0.37579373	0.16916052	0.107524104
3277335	0.3746739	0.08753219	0.10980711
3473972	0.372592	0.14547113	0.10422819
3551643	0.36452892	0.14853556	0.10945599
3389887	0.36406922	0.17197824	0.12745158
1262688	0.3630047	0.16833791	0.111252725
3177920	0.36147705	0.14543988	0.1063322
3392319	0.3570231	0.09526916	0.12016647
3174128	0.34463173	0.16534123	0.11331589
2808664	0.34413314	0.13217452	0.09184362
2957592	0.34179938	0.091359116	0.09218875
2915954	0.34043065	0.12288582	0.0
1847828	0.33852476	0.13073203	0.09390491
3492684	0.33397102	0.121792674	0.07228399
2936323	0.33353356	0.12706622	0.07798692
3194749	0.33255634	0.0	0.0
2726499	0.33231497	0.12648296	0.08730845
2693867	0.32192478	0.13575368	0.081036836
3119976	0.32068145	0.07091086	0.09385403
3170265	0.31797266	0.14945893	0.086028606
2635349	0.31021786	0.14971404	0.09783302
3859883	0.30958608	0.14202702	0.08023946
3170633	0.28996032	0.1415458	0.10240276
3783373	0.2814424	0.28548175	0.28807423
3378939	0.26949972	0.27336767	0.27585015
3370327	0.25578558	0.0	0.0
3403857	0.25462162	0.26012653	0.2623674
3556325	0.24866714	0.09377336	0.0
3490930	0.2397311	0.2431718	0.24538006
3468355	0.23499963	0.10660213	0.07265473
3408279	0.22660239	0.22985467	0.23194198
3296221	0.22560102	0.23047851	0.23246397
3800611	0.2056355	0.21008134	0.2118911
2291314	0.20394276	0.208352	0.21014687
3229010	0.20071055	0.20468043	0.22561522
3134893	0.19977862	0.2026459	0.20448615
3136022	0.19850393	0.20135292	0.2031814
29099	0.1941911	0.19807272	0.19974822
3280326	0.19059087	0.19419426	0.19592355
3508267	0.18768448	0.19139671	0.19320618
3152174	0.18685634	0.18953818	0.19125938
2944142	0.18555191	0.18906005	0.20616588
2770492	0.18330014	0.18692566	0.18869285
3884585	0.1807221	0.18429662	0.18603897
3502762	0.18025991	0.18415713	0.18574357
3728547	0.18024305	0.18365079	0.1852862
3297481	0.17921098	0.18279316	0.1843394
3654159	0.17754716	0.18105888	0.18277062
3481392	0.17623031	0.17956218	0.18116118
2831203	0.17593275	0.17845781	0.18007839
3201889	0.17459674	0.17789775	0.17948192
3737464	0.17448813	0.17699245	0.20467488
2981764	0.17143147	0.17467263	0.17622808
2740283	0.17095879	0.17341246	0.17498721
3702522	0.17092735	0.17415896	0.17570983
3445056	0.17028949	0.17397113	0.17546983
3475065	0.1691142	0.17277046	0.17425878
3824631	0.16893733	0.17213133	0.17366415
3445178	0.16239293	0.16560492	0.16717055
3228382	0.16235651	0.16586667	0.16729555
3019363	0.16229925	0.16580816	0.16723654
3350272	0.16226833	0.26279825	0.19423364
3833473	0.1613514	0.16440198	0.19002195
3488505	0.16082005	0.16312821	0.16460957
3114312	0.16025177	0.16342139	0.18752609
2773603	0.15951873	0.16296753	0.18545575
2850849	0.15859169	0.1615901	0.16302904
3701368	0.15835762	0.16063043	0.16208911
3524703	0.15723011	0.15948674	0.17757642
2630936	0.156928	0.15989493	0.16131881
2999990	0.15653065	0.15949008	0.16091032
3151459	0.156521	0.15964964	0.17951688
3556865	0.15451296	0.15785351	0.15921336
3590516	0.15442468	0.15734431	0.15874545
2746805	0.15423222	0.15731509	0.15864582
2646334	0.153783	0.1568569	0.15818375
3888331	0.15358113	0.15665099	0.1579761
481084	0.15216146	0.15520296	0.15651582
3833494	0.15214895	0.15519018	0.15650295
3445248	0.15079542	0.15377802	0.15523185
3099599	0.15005232	0.15288928	0.15425074
3136496	0.14914943	0.15237404	0.15368667
2868039	0.14869738	0.15166964	0.15295261
3385398	0.14842488	0.15136059	0.15279156
3088008	0.14817779	0.15138139	0.15268548
3117824	0.14681843	0.14975311	0.17666613
3249314	0.14675732	0.14993021	0.15122181
3690066	0.14632398	0.14842407	0.14977191
2672291	0.14627804	0.14837748	0.1497249
2827708	0.14625329	0.14941531	0.15070246
3278935	0.14608194	0.14897132	0.1503797
3099620	0.14593922	0.14909442	0.15037881
3318096	0.14592354	0.14880978	0.15021665
3441877	0.14545827	0.14820838	0.14952816
3674281	0.14472654	0.14680372	0.14813685
3032252	0.14396363	0.14707613	0.14834313
3589868	0.14379765	0.14664184	0.14802821
2914369	0.14346695	0.14552604	0.14684756
2654869	0.14336473	0.14542234	0.14674294
3142495	0.1433329	0.14616789	0.14754978
3600275	0.14311399	0.14620811	0.14746764
3628464	0.14309196	0.14592218	0.14730175
3115284	0.14304624	0.14590554	0.14713974
3425150	0.14302602	0.14573015	0.14702787
3878030	0.14282192	0.14487176	0.14618735
3740609	0.14278041	0.14547987	0.16528705
3716027	0.14247195	0.14555222	0.14680608
3717529	0.14207801	0.14411716	0.14542589
3151382	0.14178088	0.14446145	0.14574787
2769272	0.14176251	0.14482743	0.14607506
3161953	0.14154698	0.14437631	0.14559758
3106393	0.14129029	0.14434499	0.14558846
3731672	0.14122273	0.14389274	0.14517409
3298221	0.14061978	0.14263801	0.14393331
3789896	0.1401007	0.14312968	0.14436267
3438425	0.13945888	0.14209555	0.1433609
3310834	0.13935107	0.14213648	0.14333883
3833481	0.1393116	0.14206706	0.14341018
2880141	0.13927735	0.2227893	0.16509585
3259051	0.13906313	0.14184281	0.14304267
3706726	0.13888618	0.14151202	0.14277218
3601985	0.13825852	0.1410221	0.14221501
2840592	0.13823177	0.14084524	0.17851762
1257651	0.13795988	0.14056821	0.14181997
