pmcid	score
3200155	0.3600017
3088750	0.35801736
3748403	0.35487992
2647913	0.3367254
3215995	0.3354442
3649302	0.3325282
2516428	0.33066377
3097148	0.3293955
3614379	0.32198295
3295742	0.32131338
3145084	0.3210457
3336896	0.31786007
3145093	0.3178164
3860647	0.3065402
2277435	0.30646288
3389850	0.3031959
2905431	0.30179703
3858201	0.2969012
2596791	0.29679203
3014821	0.29401568
3195765	0.28952527
2397013	0.28574115
1687187	0.2837368
3015800	0.28171894
3809230	0.2806725
3521404	0.28039545
2867990	0.27977625
3492969	0.2777229
3259121	0.27261364
3169498	0.27250484
3489384	0.27223414
2689852	0.27056563
3866073	0.2678731
3030803	0.26776293
2806400	0.26688164
2475515	0.2667578
2994458	0.26599783
2740083	0.26550645
3307080	0.2640533
2700595	0.26172507
2934582	0.26138052
3860658	0.26123747
2740232	0.26122808
2850860	0.26010787
3037981	0.25957438
2827072	0.25934446
3248865	0.25855252
3445248	0.25791457
2799964	0.25750363
3765831	0.2574882
3080584	0.25692183
2929414	0.25506583
3878962	0.25472224
29048	0.25422558
1892548	0.25414374
3636075	0.25377825
3018996	0.25287497
2850982	0.25254327
2627451	0.25220037
3609955	0.2512435
3654137	0.24987926
3588206	0.24826749
3854980	0.24739805
3468117	0.24614553
3170179	0.2449323
1712221	0.24456134
2992067	0.2444108
3876309	0.2441172
2423720	0.24352236
3016754	0.24343635
3411373	0.24314946
2702950	0.24233255
2387157	0.24189591
3797604	0.24183507
3734730	0.24177173
3178469	0.24053657
3338082	0.24042979
3504246	0.24007392
2988962	0.23948035
3105458	0.23939319
2907361	0.2388051
3806701	0.2386942
3032247	0.23833299
2815823	0.23828453
2822176	0.23707786
3557185	0.23631454
2783097	0.2363104
3166808	0.23623656
3751152	0.23602784
2000873	0.23502104
3355033	0.23407997
3017885	0.23373345
2726547	0.2335722
3888001	0.23304862
3383300	0.23302987
3015409	0.23279123
2687658	0.23138222
3016500	0.23130792
3199939	0.2297132
3445186	0.22919619
3015657	0.22832888
2977075	0.22813767
3407612	0.22697541
3015484	0.22557598
3096030	0.22554016
3347250	0.22542298
3047846	0.22509176
3654276	0.22474574
3725171	0.22473711
3838988	0.22452429
3184109	0.22451575
2728191	0.22395352
3746438	0.22393803
3075161	0.2228919
3418044	0.22254801
3888002	0.22239712
3349957	0.22181447
3347651	0.22166346
2769297	0.22152112
3556748	0.22147022
3299167	0.22131781
3579987	0.22126374
1352359	0.22125989
3350117	0.22125603
3358057	0.22058804
2884449	0.22007279
2713849	0.21942362
3129103	0.21916208
3864400	0.21879695
3503948	0.2182096
2823150	0.2171818
2553057	0.21573907
2938506	0.21566954
2769332	0.21532744
3030033	0.21529743
2938513	0.21517795
3477656	0.21487898
2740154	0.21395311
3162763	0.21389766
2222677	0.21316284
137602	0.21311325
3112115	0.21308061
3785339	0.21304311
2847727	0.21301232
3108676	0.21226296
3033147	0.21224917
3015787	0.2119997
3843570	0.21167412
3340975	0.2109713
2646742	0.2109343
3551405	0.21073708
3088753	0.21039687
3825951	0.21017323
2769322	0.21014054
2890927	0.20955412
3750490	0.20934448
2790738	0.20853586
1891108	0.2084236
3537198	0.20821863
2740109	0.20791817
3289185	0.20738174
2892670	0.20721976
3714027	0.20706688
2997282	0.20701407
1569431	0.20696259
3502264	0.2069597
1914302	0.20693456
2705345	0.20692076
2673472	0.20665811
3782821	0.20661518
2630321	0.20645583
3500003	0.20644239
3568738	0.20631312
3746440	0.20610344
2984347	0.20609939
2739847	0.20581922
3712003	0.20534949
3457606	0.20525801
3350004	0.20508003
3016124	0.20495987
2740095	0.20435171
2667168	0.2043332
2797594	0.20419094
2938504	0.2039897
2769446	0.20362955
2856400	0.20310934
3876503	0.20277207
3604222	0.2026317
2640409	0.20260027
