pmcid	score
1459118	0.115208924
3420763	0.113910906
3800390	0.11369576
3571903	0.10792487
3808267	0.10353289
2936411	0.101549655
3322349	0.100650415
3880734	0.09895346
3334666	0.09463737
2878411	0.09208472
2944192	0.09045326
3621239	0.088680774
3049121	0.08819816
2855433	0.08783193
544880	0.08627881
3733185	0.085239194
2664214	0.08470959
2667523	0.08274675
3651279	0.082011566
3651015	0.081617184
3780631	0.08118623
3420725	0.08110712
2931125	0.080961905
3481929	0.08045282
3480806	0.07992197
3138087	0.07983232
2783090	0.07942823
3838810	0.07909783
3734688	0.078867644
3522482	0.07814779
3321529	0.07794099
2856385	0.07690314
3276022	0.07649589
3719111	0.07602173
3751269	0.075755976
3885791	0.07560245
3762519	0.0744376
3743381	0.074304104
3135110	0.07425902
3340295	0.07406088
3658220	0.07399278
3721128	0.07393358
3420376	0.07370526
3206512	0.07358238
1397863	0.07338216
3342722	0.073062144
3334060	0.071781166
3561694	0.07093486
2803937	0.07041828
3044791	0.07004997
2722012	0.070047915
3088376	0.069848135
3224456	0.06939918
3847001	0.068458326
3615941	0.068177186
2989698	0.067296624
1779422	0.06667806
3714027	0.066301934
3848592	0.06617248
3509389	0.06582265
3198947	0.06495892
3275113	0.06473349
3839844	0.06448957
2901793	0.06403842
2873454	0.06329041
2856380	0.06272132
3626309	0.062671475
3214375	0.062444557
3323099	0.062162776
3249707	0.06167734
3375451	0.061557785
3559430	0.061534774
3353628	0.06131148
2811896	0.061048876
3451989	0.060906824
3477656	0.06074816
3692153	0.06054197
3214856	0.060218126
3608314	0.060185622
3636961	0.060050987
2989706	0.060045343
2856378	0.059174635
3741979	0.05916682
1280924	0.059074003
3143101	0.058804043
3556772	0.05861066
3875906	0.05836717
3671804	0.057892542
3108768	0.05762374
3543541	0.056971
3692160	0.05644016
3656678	0.056381673
3400594	0.05633494
2740090	0.056134596
3535733	0.056096844
1526638	0.055950224
2700599	0.05589636
3008728	0.055685014
2275218	0.055584546
3072209	0.05527882
3337413	0.055166364
2212493	0.0551524
3114544	0.05514378
3845485	0.055041503
2323012	0.054722063
2901604	0.054193053
3109785	0.054129697
3874977	0.05412876
3889692	0.054060657
3776212	0.053860046
2913104	0.053815927
1885440	0.053796213
2813739	0.0536832
140017	0.053438038
3023428	0.05328901
