pmcid,score,pmcid,score,pmcid,score
3670530,0.6135814,3670530,0.6135814,3670530,0.6135814
2926430,0.4883077,2926430,0.4883077,2926430,0.4883077
3027449,0.473264,3027449,0.473264,3027449,0.473264
3047858,0.46507493,3047858,0.46507493,3047858,0.46507493
3170356,0.4425086,3170356,0.4425086,3170356,0.4425086
3184713,0.4274448,3184713,0.4274448,3184713,0.4274448
3030049,0.41884914,3030049,0.41884914,3030049,0.41884914
29021,0.41830727,29021,0.41830727,29021,0.41830727
2803817,0.40443805,2803817,0.40443805,2803817,0.40443805
3403950,0.38434178,3403950,0.38434178,3403950,0.38434178
2881524,0.38337186,2881524,0.38337186,2881524,0.38337186
2691651,0.37903222,2691651,0.37903222,2691651,0.37903222
3654115,0.37607595,3654115,0.37607595,3654115,0.37607595
3040396,0.3759708,3040396,0.3759708,3040396,0.3759708
3004514,0.3718478,3004514,0.3718478,3004514,0.3718478
3290188,0.37053502,3290188,0.37053502,3290188,0.37053502
2667400,0.3691137,2667400,0.3691137,2667400,0.3691137
1450322,0.36628672,1450322,0.36628672,1450322,0.36628672
3863555,0.36236295,3863555,0.36236295,3863555,0.36236295
3025343,0.35619748,3025343,0.35619748,3025343,0.35619748
2740158,0.34909654,2740158,0.34909654,2740158,0.34909654
3741949,0.34899125,3741949,0.34899125,3741949,0.34899125
3466839,0.34769395,3466839,0.34769395,3466839,0.34769395
3483501,0.34640124,3483501,0.34640124,3483501,0.34640124
3785211,0.3378305,3785211,0.3378305,3785211,0.3378305
3390429,0.33754942,3390429,0.33754942,3390429,0.33754942
3318093,0.32981247,3318093,0.32981247,3318093,0.32981247
3301320,0.32958373,3301320,0.32958373,3301320,0.32958373
3232551,0.32312933,3232551,0.32312933,3232551,0.32312933
3420382,0.32297018,3420382,0.32297018,3420382,0.32297018
3232567,0.31798303,3232567,0.31798303,3232567,0.31798303
2396176,0.3139328,2396176,0.3139328,2396176,0.3139328
3617546,0.31208754,3617546,0.31208754,3617546,0.31208754
3482081,0.30967432,3482081,0.30967432,3482081,0.30967432
3152736,0.30913657,3152736,0.30913657,3152736,0.30913657
3232568,0.30748707,3232568,0.30748707,3232568,0.30748707
3302714,0.3067243,3302714,0.3067243,3302714,0.3067243
2827809,0.304854,2827809,0.304854,2827809,0.304854
3299167,0.3043833,3299167,0.3043833,3299167,0.3043833
3562163,0.30414772,3562163,0.30414772,3562163,0.30414772
3232590,0.30259997,3232590,0.30259997,3232590,0.30259997
3809351,0.30192053,3809351,0.30192053,3809351,0.30192053
3373981,0.30117884,3373981,0.30117884,3373981,0.30117884
3652732,0.30104482,3652732,0.30104482,3652732,0.30104482
2628190,0.30094883,2628190,0.30094883,2628190,0.30094883
3049881,0.30016196,3049881,0.30016196,3049881,0.30016196
2633361,0.29675037,2633361,0.29675037,2633361,0.29675037
3423657,0.29613423,3423657,0.29613423,3423657,0.29613423
2922667,0.29544953,2922667,0.29544953,2922667,0.29544953
3227363,0.29282418,3227363,0.29282418,3227363,0.29282418
2911732,0.29268512,2911732,0.29268512,2911732,0.29268512
3347841,0.29169536,3347841,0.29169536,3347841,0.29169536
2740002,0.2906829,2740002,0.2906829,2740002,0.2906829
3596662,0.2906389,3596662,0.2906389,3596662,0.2906389
3601021,0.28813675,3601021,0.28813675,3601021,0.28813675
2607261,0.282988,2607261,0.282988,2607261,0.282988
3674744,0.28268164,3674744,0.28268164,3674744,0.28268164
3599449,0.28040093,3599449,0.28040093,3599449,0.28040093
3582537,0.28024465,3582537,0.28024465,3582537,0.28024465
2687574,0.27958342,2687574,0.27958342,2687574,0.27958342
3264878,0.27874047,3264878,0.27874047,3264878,0.27874047
3277481,0.27733794,3277481,0.27733794,3277481,0.27733794
3546418,0.27685213,3546418,0.27685213,3546418,0.27685213
3032753,0.27586955,3032753,0.27586955,3032753,0.27586955
3097541,0.27524126,3097541,0.27524126,3097541,0.27524126
2806398,0.2739949,2806398,0.2739949,2806398,0.2739949
3557637,0.2734923,3557637,0.2734923,3557637,0.2734923
3560592,0.2732478,3560592,0.2732478,3560592,0.2732478
2678700,0.2697703,2678700,0.2697703,2678700,0.2697703
3530731,0.26971084,3530731,0.26971084,3530731,0.26971084
3550423,0.26904562,3550423,0.26904562,3550423,0.26904562
3249305,0.26840466,3249305,0.26840466,3249305,0.26840466
2491614,0.26830116,2491614,0.26830116,2491614,0.26830116
2651898,0.2680431,2651898,0.2680431,2651898,0.2680431
3085233,0.26581752,3085233,0.26581752,3085233,0.26581752
2811211,0.2653085,2811211,0.2653085,2811211,0.2653085
3510780,0.26508212,3510780,0.26508212,3510780,0.26508212
3161236,0.2643972,3161236,0.2643972,3161236,0.2643972
3333466,0.2640549,3333466,0.2640549,3333466,0.2640549
3047687,0.26303014,3047687,0.26303014,3047687,0.26303014
3469935,0.26219666,3469935,0.26219666,3469935,0.26219666
2744771,0.26161945,2744771,0.26161945,2744771,0.26161945
3419663,0.26126027,3419663,0.26126027,3419663,0.26126027
3310745,0.2611068,3310745,0.2611068,3310745,0.2611068
3305527,0.2606649,3305527,0.2606649,3305527,0.2606649
3196346,0.26041692,3196346,0.26041692,3196346,0.26041692
3097588,0.26040408,3097588,0.26040408,3097588,0.26040408
2893371,0.2599935,2893371,0.2599935,2893371,0.2599935
3556420,0.25826252,3556420,0.25826252,3556420,0.25826252
3348696,0.2578624,3348696,0.2578624,3348696,0.2578624
3423700,0.2571936,3423700,0.2571936,3423700,0.2571936
3014857,0.25585094,3014857,0.25585094,3014857,0.25585094
2948298,0.2553285,2948298,0.2553285,2948298,0.2553285
3017928,0.25521117,3017928,0.25521117,3017928,0.25521117
3572695,0.25480282,3572695,0.25480282,3572695,0.25480282
2921513,0.25465995,2921513,0.25465995,2921513,0.25465995
2567964,0.25350904,2567964,0.25350904,2567964,0.25350904
3652182,0.25317797,3652182,0.25317797,3652182,0.25317797
2740058,0.25277483,2740058,0.25277483,2740058,0.25277483
3137975,0.25267106,3137975,0.25267106,3137975,0.25267106
2738309,0.2522627,2738309,0.2522627,2738309,0.2522627
3560078,0.25214896,3560078,0.25214896,3560078,0.25214896
3789939,0.24995759,3789939,0.24995759,3789939,0.24995759
1896179,0.2490396,1896179,0.2490396,1896179,0.2490396
3403800,0.24848618,3403800,0.24848618,3403800,0.24848618
