pmcid,score,pmcid,score,pmcid,score
3546453,0.32614022,3546453,0.32614022,3546453,0.32614022
3403367,0.31088036,3403367,0.31088036,3403367,0.31088036
3542938,0.2629203,3542938,0.2629203,3542938,0.2629203
2687656,0.25802666,2687656,0.25802666,2687656,0.25802666
3439936,0.2528303,3439936,0.2528303,3439936,0.2528303
3808756,0.24392296,3808756,0.24392296,3808756,0.24392296
3671282,0.21654093,3671282,0.21654093,3671282,0.21654093
3863508,0.21528037,3863508,0.21528037,3863508,0.21528037
1375236,0.21370225,1375236,0.21370225,1375236,0.21370225
3420510,0.20429431,3420510,0.20429431,3420510,0.20429431
3262532,0.20329538,3262532,0.20329538,3262532,0.20329538
3532807,0.19577885,3532807,0.19577885,3532807,0.19577885
2740114,0.19528706,2740114,0.19528706,2740114,0.19528706
2987328,0.19126552,2987328,0.19126552,2987328,0.19126552
3564269,0.18725492,3564269,0.18725492,3564269,0.18725492
3194612,0.18710186,3194612,0.18710186,3194612,0.18710186
1896172,0.18703191,1896172,0.18703191,1896172,0.18703191
2518148,0.18698537,2518148,0.18698537,2518148,0.18698537
1459118,0.18698004,1459118,0.18698004,1459118,0.18698004
1397847,0.18536551,1397847,0.18536551,1397847,0.18536551
2901610,0.18448125,2901610,0.18448125,2901610,0.18448125
2390549,0.184383,2390549,0.184383,2390549,0.184383
2738311,0.18415584,2738311,0.18415584,2738311,0.18415584
2174495,0.182074,2174495,0.182074,2174495,0.182074
3866685,0.18205227,3866685,0.18205227,3866685,0.18205227
2929636,0.1812343,2929636,0.1812343,2929636,0.1812343
3764715,0.18090326,3764715,0.18090326,3764715,0.18090326
3420763,0.17977881,3420763,0.17977881,3420763,0.17977881
3834698,0.17794615,3834698,0.17794615,3834698,0.17794615
3279511,0.17572965,3279511,0.17572965,3279511,0.17572965
3800390,0.17513034,3800390,0.17513034,3800390,0.17513034
2613409,0.17510398,2613409,0.17510398,2613409,0.17510398
3571903,0.1749639,3571903,0.1749639,3571903,0.1749639
3459526,0.1748958,3459526,0.1748958,3459526,0.1748958
2650979,0.17436105,2650979,0.17436105,2650979,0.17436105
3551686,0.17331378,3551686,0.17331378,3551686,0.17331378
2966984,0.17252068,2966984,0.17252068,2966984,0.17252068
2474584,0.17157201,2474584,0.17157201,2474584,0.17157201
2930659,0.17091654,2930659,0.17091654,2930659,0.17091654
3045886,0.16882221,3045886,0.16882221,3045886,0.16882221
3544062,0.168606,3544062,0.168606,3544062,0.168606
3644260,0.16841197,3644260,0.16841197,3644260,0.16841197
3879014,0.1683836,3879014,0.1683836,3879014,0.1683836
2829599,0.16799974,2829599,0.16799974,2829599,0.16799974
476739,0.16769515,476739,0.16769515,476739,0.16769515
3808267,0.1676921,3808267,0.1676921,3808267,0.1676921
3193674,0.16750255,3193674,0.16750255,3193674,0.16750255
2874920,0.16693687,2874920,0.16693687,2874920,0.16693687
2211766,0.16681965,2211766,0.16681965,2211766,0.16681965
3544059,0.1649469,3544059,0.1649469,3544059,0.1649469
3853164,0.16476892,3853164,0.16476892,3853164,0.16476892
2936411,0.1642127,2936411,0.1642127,2936411,0.1642127
3640983,0.16301467,3640983,0.16301467,3640983,0.16301467
3322349,0.16189598,3322349,0.16189598,3322349,0.16189598
3221223,0.16123779,3221223,0.16123779,3221223,0.16123779
3446146,0.16029353,3446146,0.16029353,3446146,0.16029353
3827830,0.15903442,3827830,0.15903442,3827830,0.15903442
3880734,0.15838656,3880734,0.15838656,3880734,0.15838656
3548373,0.15677369,3548373,0.15677369,3548373,0.15677369
