pmcid	score
2892615	0.37193304
3834987	0.36318
3506220	0.3224549
3833481	0.31166762
3656631	0.311283
1915650	0.29954994
3320390	0.29368883
3614649	0.29295376
3280186	0.28886673
3764358	0.2886663
3894143	0.2879678
2611962	0.27971512
3490473	0.2792592
3423911	0.27910265
2868875	0.27221873
3403064	0.2713065
3858699	0.2673731
3820174	0.26278642
2751738	0.26179364
3172973	0.25424248
3420609	0.2520833
3264568	0.25040334
3562534	0.24973987
3755437	0.24936108
3622393	0.24876341
2807864	0.24157503
3517187	0.24128045
3821148	0.24017291
3166438	0.23835185
3654939	0.23678209
3833581	0.23672742
2793241	0.23568189
3610089	0.23506936
3196037	0.22888799
3139154	0.22806305
3848723	0.22795168
3208924	0.2277179
3570032	0.22605886
2628121	0.22597276
3555597	0.22524728
2546470	0.22522601
3759076	0.22314928
3735335	0.22223075
3764340	0.22128254
3582858	0.22004753
2980628	0.21934567
3718246	0.21908094
2246109	0.21751143
3741014	0.21708135
3119861	0.21670961
3619691	0.21646684
1940253	0.21560833
3423950	0.21403232
3670647	0.2135887
3572577	0.21343772
3895790	0.21330917
3513310	0.21214429
3500135	0.2119246
3023428	0.20935306
3858693	0.2089413
3548379	0.20728825
1373644	0.20714086
3252294	0.20658581
2790183	0.20604815
3871751	0.20577164
3601044	0.20565508
3150871	0.20454979
3037323	0.20437399
2626929	0.20356837
3524713	0.20321243
3686177	0.2031194
3876310	0.20272928
3616977	0.20264797
3432784	0.2016368
3835511	0.20117803
3709274	0.20117287
3532966	0.20110704
3086328	0.19954419
3429097	0.1988733
3129533	0.19827889
514562	0.19606844
3561083	0.19540808
3705145	0.19502655
2994358	0.19501401
3445230	0.19453056
2773587	0.1939406
3678211	0.19366002
3096572	0.19357188
3153296	0.19302104
3751786	0.19261083
2526427	0.19255129
3193647	0.19235685
3385264	0.19135754
3740609	0.19092062
3730206	0.19019225
3098519	0.19013622
3114601	0.19000554
3049601	0.18931295
3598739	0.18913373
3664409	0.18854101
3182973	0.18797845
3104373	0.18753216
3504250	0.18658492
3309321	0.18606539
3861848	0.18593349
3170346	0.18537898
3487217	0.1847163
3853354	0.18455954
3478569	0.18382026
3328151	0.18365365
3664413	0.18315703
2631524	0.18306166
3299659	0.18244211
3613646	0.18220857
3614776	0.18192014
3542889	0.18187168
3675506	0.18145256
3371349	0.18144946
2363948	0.1810408
2329664	0.18055363
2989524	0.18016204
2710506	0.17927347
1253520	0.17918956
3883066	0.17819141
3506020	0.17787895
3705276	0.17770913
3227226	0.1776616
3582863	0.1773752
3120665	0.17724605
1550718	0.17703307
3162908	0.17677808
3152527	0.17669244
3508655	0.17656621
3377918	0.17630479
3606231	0.17592655
3203843	0.17589253
3429034	0.17563479
3457722	0.17535849
2360667	0.17526434
3876621	0.17525062
3498670	0.17524609
1550245	0.17497344
3622375	0.1747181
3690644	0.17454672
3377381	0.17449261
1852908	0.17440578
3810492	0.17431384
3585303	0.17415299
2898546	0.1739848
2769323	0.1738282
2901953	0.17348619
60006	0.17292461
3495043	0.17258741
3202504	0.17255443
3691589	0.172286
1634849	0.17222677
3540644	0.17210288
2941760	0.17172065
3162835	0.17159085
3519056	0.17155193
3610301	0.17153749
2672240	0.17150067
2329636	0.17144558
3472230	0.17134494
2474607	0.17102817
3205552	0.17069444
2988848	0.17042974
3112366	0.17039873
3509705	0.17028943
3502788	0.17007302
3384944	0.17002484
3734632	0.16999762
2984268	0.16994941
2908646	0.16985136
3080839	0.16973153
2850859	0.16971578
2654866	0.16950013
3411405	0.16940945
3383503	0.16911161
3708351	0.16892688
3488523	0.16868344
3864880	0.16857657
3085505	0.16839875
3062973	0.16838624
2799065	0.1682254
3596862	0.16818371
3438873	0.16794176
3162880	0.16791624
3325748	0.16773723
3777312	0.1677256
3528951	0.16771856
3851840	0.16761903
2929215	0.1675602
3027454	0.16726415
3430891	0.16723412
2769397	0.16717878
3589868	0.16717394
2742518	0.16704036
3177918	0.16688664
3837720	0.16660656
1876466	0.16629289
3014832	0.16592339
2687896	0.16576886
3746454	0.16536841
1282576	0.16519615
3364074	0.16519545
3814995	0.16485955
3385313	0.16484636
3443435	0.16478659
2824958	0.16478571
2039785	0.16457187
2538503	0.16425738
2874766	0.16404265
2914366	0.16319034
3214849	0.16312926
3445096	0.16311091
2630300	0.16300854
3806512	0.16268495
2213654	0.16262199
2902147	0.1625421
2791744	0.16248411
2739423	0.16230345
3451906	0.16215086
3640972	0.16210477
3159754	0.16203673
3157089	0.16192853
2953609	0.16187029
3189145	0.16154325
2726480	0.1614594
3143727	0.16138364
2850849	0.16138063
3277335	0.16117972
2867996	0.16079913
3880707	0.16073723
