pmcid	score
3088750	0.35407645
3200155	0.35205722
3748403	0.3467053
2647913	0.3335791
3215995	0.3292205
2516428	0.32902026
3097148	0.32766446
3649302	0.32703957
3614379	0.32122692
3295742	0.31693846
3145093	0.31555173
3336896	0.3149191
3145084	0.314857
3860647	0.3122792
2277435	0.31226742
2596791	0.30178362
3389850	0.3011351
2905431	0.29908064
3014821	0.29850754
3195765	0.29436785
3858201	0.29220867
1687187	0.28708947
3015800	0.28526208
2867990	0.28406104
3492969	0.2818899
2397013	0.28175104
3521404	0.28091544
3809230	0.27920467
3489384	0.27610996
3169498	0.27518818
3030803	0.2723998
2475515	0.27156237
2740083	0.27063826
3866073	0.26968592
2806400	0.2695694
3259121	0.26874492
2689852	0.2686935
2994458	0.26435626
3037981	0.2622692
3307080	0.26195717
3860658	0.26131222
2700595	0.26093304
3248865	0.26044297
2827072	0.25925797
3080584	0.25751206
3878962	0.25737232
2929414	0.2568974
2740232	0.25589326
3765831	0.25574094
2799964	0.25573036
2934582	0.25537473
29048	0.2551769
2850860	0.25467494
1892548	0.25417036
3018996	0.25323373
3636075	0.2527962
3654137	0.2516613
3588206	0.2512904
2627451	0.25123176
3468117	0.25087684
2850982	0.25069606
3609955	0.2492469
3445248	0.24780795
2992067	0.24611926
3854980	0.24549073
2387157	0.24527371
3170179	0.24445048
3411373	0.24377066
1712221	0.24304679
2988962	0.24236012
3734730	0.24199544
2907361	0.2415611
3797604	0.2403479
3178469	0.24006121
3338082	0.23918161
3876309	0.23901854
3016754	0.23870872
2702950	0.23865554
3504246	0.23811965
2423720	0.23793109
3166808	0.23727629
3032247	0.23716776
2815823	0.23696421
3017885	0.23596019
3105458	0.23561314
2822176	0.23537238
3016500	0.23513885
3355033	0.23502296
3751152	0.234906
3806701	0.23471737
2687658	0.2346408
3557185	0.23439807
3015409	0.23432237
2000873	0.23331915
3888001	0.23198375
2783097	0.23153515
2726547	0.22912987
3383300	0.22884464
3047846	0.22725442
3199939	0.22718544
3445186	0.22553012
3725171	0.22545445
3015657	0.22537114
3654276	0.22504291
2769297	0.2246638
3838988	0.22464752
3184109	0.22456275
2977075	0.22427335
3350117	0.22326434
3407612	0.22281241
2884449	0.22244827
2728191	0.222447
3096030	0.2218709
3015484	0.22145616
3347250	0.22140254
3349957	0.22067083
3746438	0.22023277
3579987	0.2201993
3347651	0.21990296
1352359	0.21964297
3075161	0.219247
3477656	0.21885733
3556748	0.2186464
3299167	0.2185824
2938513	0.2183877
2713849	0.21812175
3418044	0.21806115
3503948	0.21788272
3864400	0.21764924
2938506	0.2174647
3888002	0.21714431
3358057	0.21613178
2823150	0.21589452
3129103	0.2152339
2769332	0.21495269
2553057	0.21460894
3551405	0.21447383
2847727	0.21366048
2740154	0.21340543
3825951	0.21308024
3162763	0.21245092
137602	0.21236227
3030033	0.21142694
3033147	0.21124148
3785339	0.21052861
2890927	0.21035765
2769322	0.21016887
3714027	0.2101227
2790738	0.20942469
3537198	0.20938022
2222677	0.20918034
2892670	0.20917079
1914302	0.2090896
2646742	0.20899548
3843570	0.20898117
3500003	0.2089364
3108676	0.2089259
3015787	0.20891523
3112115	0.20889358
1891108	0.20885418
3750490	0.20871149
1569431	0.20845181
2630321	0.20779821
2705345	0.20732738
2673472	0.20715642
3088753	0.20708093
2740109	0.20697813
3340975	0.20693034
3350004	0.20689689
3457606	0.20654233
3502264	0.2059596
2740095	0.20567279
3782821	0.20532404
3712003	0.2052936
2739847	0.2052002
3391837	0.20519039
2938504	0.20518556
2997282	0.20505224
165419	0.2049381
2640409	0.20493096
2797594	0.20473534
2858848	0.20471305
3088744	0.20459442
3568738	0.20394439
3016124	0.2039095
3746440	0.20390764
3289185	0.20386273
2856400	0.2036914
2667168	0.20366888
2984347	0.20327947
3876503	0.2028863
3132369	0.20225531
3711735	0.20214151
3350193	0.20170414
2809462	0.2012862
2967700	0.20118617
3604222	0.20116505
3600282	0.20006257
2769446	0.19992587
1174869	0.19944212
2914738	0.1994041
3505949	0.19930913
3789899	0.19838314
3382696	0.19832598
3663309	0.1980469
3544608	0.19794214
3783711	0.19789185
3655517	0.19769135
2740038	0.19725388
3016817	0.1972037
3649285	0.1971927
2980723	0.19644706
3711740	0.19629107
2565670	0.19600864
3015425	0.19600002
3623763	0.19597957
3770034	0.19585094
2683798	0.19582823
3765128	0.1957684
2783104	0.1953406
2443772	0.19509502
3570930	0.19506273
2989126	0.19455867
3257462	0.19450997
3685544	0.19426407
2804019	0.19403428
3000846	0.19363984
3593510	0.19323736
1550411	0.19300945
3663148	0.19266535
3015287	0.19251491
1523371	0.19240078
3285529	0.19219872
3019022	0.1919593
2788451	0.19174062
3799716	0.19162793
3170312	0.19161755
2270823	0.19140647
3872241	0.19135603
