pmcid	title	abstract	body
3086328	3.7315395	0.1528312	1.4921091
3664367	3.6486669	0.08512122	0.88421214
1855694	3.5969756	0.10754749	1.2377374
3113224	3.4654577	0.0	0.99934006
3615923	3.0974238	0.14014971	0.14101195
416457	3.0959637	0.0	0.0
2621382	3.0831559	0.11508065	0.115673915
2737755	3.0519443	1.9545767	1.3235054
3575421	2.9682252	0.0	0.62146044
3320390	2.949128	1.9777241	1.1484108
2726558	2.9398527	1.2243408	1.353589
3253728	2.9286904	2.0428975	1.3002576
3074273	2.8690863	1.5168432	1.0714006
3641938	2.8193407	0.13098642	1.4513702
3704649	2.7934027	1.7075237	0.09409859
3539052	2.7931755	0.1233214	1.4931436
3317255	2.768842	0.081718884	1.183635
3792504	2.7515345	0.0827184	0.08312513
2172248	2.732886	0.0	0.0
3539461	2.7024643	1.1390204	1.1676328
3275124	2.6988482	0.0	1.1272703
3755437	2.6829677	0.12864809	1.2212017
3087163	2.6662383	2.0723944	1.1537364
3354496	2.6501606	0.0693414	1.3748538
1564284	2.557539	1.8740473	0.9341128
2702819	2.5528557	2.5553706	1.1250657
2633003	2.529516	1.5092202	1.1818672
3551416	2.522086	1.0776398	1.2773317
3366352	2.5214498	1.0494134	0.0
2045659	2.515494	1.6422176	1.3276594
2496981	2.4949505	1.400599	0.0
2883195	2.490929	0.061434314	0.0
3110133	2.4811568	1.3865274	1.2128918
3573789	2.4732757	1.3462278	0.98443246
2741488	2.4410632	1.4096811	1.0888927
3170124	2.4170074	1.4219965	0.32153
3129061	2.4160748	1.7402977	1.2169373
3036638	2.3959873	1.2181858	1.1192552
3403125	2.3940806	1.3306707	1.2627698
3533611	2.3912637	1.7063991	1.2086153
2628877	2.3834455	1.8455211	1.2005786
3337804	2.382245	1.009718	1.0129504
3170346	2.381527	1.3919191	1.4281828
3420562	2.3739028	1.4426181	1.0750358
1769396	2.3724911	1.308662	0.6267922
3857506	2.357454	0.0	0.0
2933632	2.3289683	1.4399205	1.1401881
2737768	2.3265865	1.4784178	1.1852672
3651322	2.326189	1.1021512	1.012278
3058023	2.324079	1.2936153	1.0101134
3132325	2.3203876	2.0947464	1.1789168
3016303	2.2831206	1.0073324	1.0198567
3163221	2.2826855	1.195097	1.1708641
3573360	2.281391	1.8090285	1.3450899
2767145	2.273119	0.06778708	0.0
2566573	2.2634065	0.0	1.1883934
3118210	2.2493896	1.1366792	1.0431734
3836946	2.2477167	0.11611471	1.3675302
3150318	2.2468052	1.3334916	1.1626157
2396178	2.2357745	1.3560662	1.1241066
2909247	2.216988	1.4072978	1.1274531
3074290	2.2083147	1.8007082	1.1688877
2726523	2.1937883	1.7858891	1.1539851
2702927	2.1871223	0.0	1.1471462
3884116	2.156013	1.1989698	0.95906705
3148997	2.1536086	1.5726709	1.1354026
3665130	2.1521003	0.07432563	0.074753135
