pmcid,score,pmcid,score,pmcid,score
2934582,0.55224264,2934582,0.55224264,2934582,0.55224264
3015305,0.4354492,3015305,0.4354492,3015305,0.4354492
3347651,0.4316133,3347651,0.4316133,3347651,0.4316133
2646742,0.42858112,2646742,0.42858112,2646742,0.42858112
2830945,0.42350686,2830945,0.42350686,2830945,0.42350686
239862,0.4134655,239862,0.4134655,239862,0.4134655
2277430,0.4080697,2277430,0.4080697,2277430,0.4080697
3015409,0.40529066,3015409,0.40529066,3015409,0.40529066
3616039,0.3847021,3616039,0.3847021,3616039,0.3847021
3533887,0.3779583,3533887,0.3779583,3533887,0.3779583
3052194,0.37628365,3052194,0.37628365,3052194,0.37628365
3888002,0.3746679,3888002,0.3746679,3888002,0.3746679
3638532,0.37435013,3638532,0.37435013,3638532,0.37435013
2925354,0.3645388,2925354,0.3645388,2925354,0.3645388
3725171,0.36306584,3725171,0.36306584,3725171,0.36306584
3418044,0.36057615,3418044,0.36057615,3418044,0.36057615
3779402,0.3596293,3779402,0.3596293,3779402,0.3596293
3461776,0.35810685,3461776,0.35810685,3461776,0.35810685
3649454,0.35516426,3649454,0.35516426,3649454,0.35516426
3383300,0.3467872,3383300,0.3467872,3383300,0.3467872
3556838,0.34644508,3556838,0.34644508,3556838,0.34644508
3484318,0.34501618,3484318,0.34501618,3484318,0.34501618
2918822,0.3417727,2918822,0.3417727,2918822,0.3417727
3015688,0.33871382,3015688,0.33871382,3015688,0.33871382
2694377,0.33707917,2694377,0.33707917,2694377,0.33707917
2740293,0.33572927,2740293,0.33572927,2740293,0.33572927
3249850,0.3353807,3249850,0.3353807,3249850,0.3353807
2678139,0.33460745,2678139,0.33460745,2678139,0.33460745
3445186,0.33344606,3445186,0.33344606,3445186,0.33344606
3113183,0.32848597,3113183,0.32848597,3113183,0.32848597
2572068,0.325787,2572068,0.325787,2572068,0.325787
3580896,0.32469618,3580896,0.32469618,3580896,0.32469618
3628494,0.3244998,3628494,0.3244998,3628494,0.3244998
3852762,0.32146195,3852762,0.32146195,3852762,0.32146195
3438719,0.31936502,3438719,0.31936502,3438719,0.31936502
2253550,0.3185249,2253550,0.3185249,2253550,0.3185249
3291426,0.31817114,3291426,0.31817114,3291426,0.31817114
2730560,0.31633243,2730560,0.31633243,2730560,0.31633243
3279489,0.31630245,3279489,0.31630245,3279489,0.31630245
2783077,0.3159691,2783077,0.3159691,2783077,0.3159691
3863961,0.31494468,3863961,0.31494468,3863961,0.31494468
2614979,0.31392875,2614979,0.31392875,2614979,0.31392875
2847139,0.31373364,2847139,0.31373364,2847139,0.31373364
1526710,0.31350002,1526710,0.31350002,1526710,0.31350002
2627451,0.31334025,2627451,0.31334025,2627451,0.31334025
3872157,0.3108915,3872157,0.3108915,3872157,0.3108915
3684085,0.31086892,3684085,0.31086892,3684085,0.31086892
2769297,0.31050375,2769297,0.31050375,2769297,0.31050375
3075160,0.31003618,3075160,0.31003618,3075160,0.31003618
3099092,0.30961394,3099092,0.30961394,3099092,0.30961394
3628469,0.30807656,3628469,0.30807656,3628469,0.30807656
2995940,0.30670777,2995940,0.30670777,2995940,0.30670777
3783828,0.30632487,3783828,0.30632487,3783828,0.30632487
3030803,0.30445027,3030803,0.30445027,3030803,0.30445027
3748403,0.30428174,3748403,0.30428174,3748403,0.30428174
3214511,0.30306128,3214511,0.30306128,3214511,0.30306128
2929414,0.302407,2929414,0.302407,2929414,0.302407
3407612,0.30206448,3407612,0.30206448,3407612,0.30206448
3304619,0.3018672,3304619,0.3018672,3304619,0.3018672
2988864,0.30073488,2988864,0.30073488,2988864,0.30073488
3047846,0.30040658,3047846,0.30040658,3047846,0.30040658
3336896,0.30018175,3336896,0.30018175,3336896,0.30018175
2836925,0.29891914,2836925,0.29891914,2836925,0.29891914
3593510,0.29880035,3593510,0.29880035,3593510,0.29880035
2769332,0.29870626,2769332,0.29870626,2769332,0.29870626
3068583,0.2978648,3068583,0.2978648,3068583,0.2978648
3169498,0.2972761,3169498,0.2972761,3169498,0.2972761
3433556,0.29722747,3433556,0.29722747,3433556,0.29722747
3655519,0.29661888,3655519,0.29661888,3655519,0.29661888
3632018,0.2964006,3632018,0.2964006,3632018,0.2964006
3213015,0.296148,3213015,0.296148,3213015,0.296148
3859883,0.29561743,3859883,0.29561743,3859883,0.29561743
3649089,0.29526222,3649089,0.29526222,3649089,0.29526222
3663309,0.29440874,3663309,0.29440874,3663309,0.29440874
3773424,0.29381245,3773424,0.29381245,3773424,0.29381245
2740156,0.29380187,2740156,0.29380187,2740156,0.29380187
2612654,0.29279095,2612654,0.29279095,2612654,0.29279095
3415050,0.29221135,3415050,0.29221135,3415050,0.29221135
2647913,0.29204842,2647913,0.29204842,2647913,0.29204842
2769376,0.2905861,2769376,0.2905861,2769376,0.2905861
3296598,0.28993243,3296598,0.28993243,3296598,0.28993243
3113161,0.28990778,3113161,0.28990778,3113161,0.28990778
3461611,0.28918192,3461611,0.28918192,3461611,0.28918192
3411373,0.28881922,3411373,0.28881922,3411373,0.28881922
3628244,0.28830594,3628244,0.28830594,3628244,0.28830594
2910374,0.28810215,2910374,0.28810215,2910374,0.28810215
3712003,0.28801802,3712003,0.28801802,3712003,0.28801802
3350117,0.28667834,3350117,0.28667834,3350117,0.28667834
2890891,0.28527555,2890891,0.28527555,2890891,0.28527555
3614379,0.28469393,3614379,0.28469393,3614379,0.28469393
3285529,0.2839765,3285529,0.2839765,3285529,0.2839765
3017885,0.28371823,3017885,0.28371823,3017885,0.28371823
3068103,0.28354493,3068103,0.28354493,3068103,0.28354493
3531040,0.28270912,3531040,0.28270912,3531040,0.28270912
3340975,0.28161052,3340975,0.28161052,3340975,0.28161052
2726498,0.28087208,2726498,0.28087208,2726498,0.28087208
3226425,0.28047532,3226425,0.28047532,3226425,0.28047532
3015576,0.2798066,3015576,0.2798066,3015576,0.2798066
3018996,0.27947748,3018996,0.27947748,3018996,0.27947748
2933122,0.279317,2933122,0.279317,2933122,0.279317
3819678,0.27925968,3819678,0.27925968,3819678,0.27925968
3015994,0.27898833,3015994,0.27898833,3015994,0.27898833
3544608,0.278981,3544608,0.278981,3544608,0.278981
3489384,0.27845976,3489384,0.27845976,3489384,0.27845976
2938513,0.27804944,2938513,0.27804944,2938513,0.27804944
3600282,0.27748471,3600282,0.27748471,3600282,0.27748471
3195765,0.27745935,3195765,0.27745935,3195765,0.27745935
3160369,0.27745932,3160369,0.27745932,3160369,0.27745932
3177411,0.27733806,3177411,0.27733806,3177411,0.27733806
3122097,0.27722955,3122097,0.27722955,3122097,0.27722955
2423720,0.2768578,2423720,0.2768578,2423720,0.2768578
3227160,0.27677414,3227160,0.27677414,3227160,0.27677414
