pmcid,score,pmcid,score,pmcid,score
2827106,0.31433514,2827106,0.31433514,2827106,0.31433514
2990464,0.30993587,2990464,0.30993587,2990464,0.30993587
3743594,0.3079908,3743594,0.3079908,3743594,0.3079908
3423774,0.28929558,3423774,0.28929558,3423774,0.28929558
3480015,0.28041428,3480015,0.28041428,3480015,0.28041428
3597858,0.27623895,3597858,0.27623895,3597858,0.27623895
2883201,0.27375132,2883201,0.27375132,2883201,0.27375132
3261608,0.27048564,3261608,0.27048564,3261608,0.27048564
3237218,0.26552916,3237218,0.26552916,3237218,0.26552916
3845259,0.2652497,3845259,0.2652497,3845259,0.2652497
3522349,0.26275417,3522349,0.26275417,3522349,0.26275417
2747439,0.260843,2747439,0.260843,2747439,0.260843
3792541,0.2553152,3792541,0.2553152,3792541,0.2553152
3097685,0.2548445,3097685,0.2548445,3097685,0.2548445
2766900,0.25478244,2766900,0.25478244,2766900,0.25478244
3649091,0.2506609,3649091,0.2506609,3649091,0.2506609
3579993,0.24887876,3579993,0.24887876,3579993,0.24887876
3047758,0.24148946,3047758,0.24148946,3047758,0.24148946
2853042,0.24080996,2853042,0.24080996,2853042,0.24080996
3442472,0.23928387,3442472,0.23928387,3442472,0.23928387
3590974,0.23596133,3590974,0.23596133,3590974,0.23596133
3460998,0.23485316,3460998,0.23485316,3460998,0.23485316
2876708,0.23347324,2876708,0.23347324,2876708,0.23347324
3324271,0.23317754,3324271,0.23317754,3324271,0.23317754
3162981,0.23164718,3162981,0.23164718,3162981,0.23164718
3835649,0.23151323,3835649,0.23151323,3835649,0.23151323
3539336,0.22989467,3539336,0.22989467,3539336,0.22989467
201022,0.22979265,201022,0.22979265,201022,0.22979265
3275737,0.22894943,3275737,0.22894943,3275737,0.22894943
2292492,0.22834167,2292492,0.22834167,2292492,0.22834167
2918840,0.22831854,2918840,0.22831854,2918840,0.22831854
3475474,0.22677138,3475474,0.22677138,3475474,0.22677138
3282448,0.22672342,3282448,0.22672342,3282448,0.22672342
1654154,0.2258996,1654154,0.2258996,1654154,0.2258996
3858766,0.22523013,3858766,0.22523013,3858766,0.22523013
3522346,0.2245873,3522346,0.2245873,3522346,0.2245873
3725366,0.22231898,3725366,0.22231898,3725366,0.22231898
3137831,0.2199672,3137831,0.2199672,3137831,0.2199672
3606758,0.2199113,3606758,0.2199113,3606758,0.2199113
3260251,0.21982229,3260251,0.21982229,3260251,0.21982229
3669560,0.21816325,3669560,0.21816325,3669560,0.21816325
3512255,0.21754158,3512255,0.21754158,3512255,0.21754158
3465873,0.21695869,3465873,0.21695869,3465873,0.21695869
3889048,0.21685232,3889048,0.21685232,3889048,0.21685232
3074330,0.2161666,3074330,0.2161666,3074330,0.2161666
3259307,0.21609378,3259307,0.21609378,3259307,0.21609378
3678867,0.21519293,3678867,0.21519293,3678867,0.21519293
2946729,0.21508053,2946729,0.21508053,2946729,0.21508053
3326998,0.21442567,3326998,0.21442567,3326998,0.21442567
3637413,0.21262865,3637413,0.21262865,3637413,0.21262865
2893311,0.2124642,2893311,0.2124642,2893311,0.2124642
3361206,0.21200556,3361206,0.21200556,3361206,0.21200556
3424852,0.21137832,3424852,0.21137832,3424852,0.21137832
2718140,0.21116449,2718140,0.21116449,2718140,0.21116449
2769329,0.21101266,2769329,0.21101266,2769329,0.21101266
3841696,0.21051212,3841696,0.21051212,3841696,0.21051212
3507065,0.21031466,3507065,0.21031466,3507065,0.21031466
3557624,0.20934607,3557624,0.20934607,3557624,0.20934607
3846101,0.20926522,3846101,0.20926522,3846101,0.20926522
3604817,0.206453,3604817,0.206453,3604817,0.206453
3625881,0.20635238,3625881,0.20635238,3625881,0.20635238
3656556,0.2053523,3656556,0.2053523,3656556,0.2053523
3768168,0.20500033,3768168,0.20500033,3768168,0.20500033
3439789,0.20499201,3439789,0.20499201,3439789,0.20499201
2908670,0.2047222,2908670,0.2047222,2908670,0.2047222
3193814,0.20430848,3193814,0.20430848,3193814,0.20430848
3180182,0.20407133,3180182,0.20407133,3180182,0.20407133
3173907,0.20405924,3173907,0.20405924,3173907,0.20405924
3502833,0.20391914,3502833,0.20391914,3502833,0.20391914
2816851,0.20357776,2816851,0.20357776,2816851,0.20357776
3117760,0.20283909,3117760,0.20283909,3117760,0.20283909
3616064,0.20259994,3616064,0.20259994,3616064,0.20259994
2740295,0.20187294,2740295,0.20187294,2740295,0.20187294
3849969,0.20163015,3849969,0.20163015,3849969,0.20163015
3461274,0.20154074,3461274,0.20154074,3461274,0.20154074
1592487,0.20125186,1592487,0.20125186,1592487,0.20125186
2705726,0.20094076,2705726,0.20094076,2705726,0.20094076
3485908,0.20081915,3485908,0.20081915,3485908,0.20081915
3424676,0.20005351,3424676,0.20005351,3424676,0.20005351
3764732,0.19989827,3764732,0.19989827,3764732,0.19989827
3583123,0.19953957,3583123,0.19953957,3583123,0.19953957
2941259,0.19919074,2941259,0.19919074,2941259,0.19919074
3849794,0.1991348,3849794,0.1991348,3849794,0.1991348
3891388,0.19767958,3891388,0.19767958,3891388,0.19767958
2803888,0.19694062,2803888,0.19694062,2803888,0.19694062
3851001,0.19670728,3851001,0.19670728,3851001,0.19670728
3616260,0.19651495,3616260,0.19651495,3616260,0.19651495
3177428,0.19638343,3177428,0.19638343,3177428,0.19638343
3295547,0.1963492,3295547,0.1963492,3295547,0.1963492
3409659,0.1956176,3409659,0.1956176,3409659,0.1956176
3249271,0.19520086,3249271,0.19520086,3249271,0.19520086
3108321,0.1942139,3108321,0.1942139,3108321,0.1942139
3640245,0.19418998,3640245,0.19418998,3640245,0.19418998
3183691,0.19389635,3183691,0.19389635,3183691,0.19389635
3745931,0.19385228,3745931,0.19385228,3745931,0.19385228
3853387,0.19376664,3853387,0.19376664,3853387,0.19376664
3295978,0.19357303,3295978,0.19357303,3295978,0.19357303
3590332,0.19353083,3590332,0.19353083,3590332,0.19353083
3279508,0.19263306,3279508,0.19263306,3279508,0.19263306
3358599,0.19230491,3358599,0.19230491,3358599,0.19230491
3835648,0.19208957,3835648,0.19208957,3835648,0.19208957
3021894,0.19197655,3021894,0.19197655,3021894,0.19197655
3487864,0.19174981,3487864,0.19174981,3487864,0.19174981
3600273,0.19149671,3600273,0.19149671,3600273,0.19149671
3891033,0.1907353,3891033,0.1907353,3891033,0.1907353
2994496,0.19065353,2994496,0.19065353,2994496,0.19065353
3876596,0.19038627,3876596,0.19038627,3876596,0.19038627
3822324,0.18973511,3822324,0.18973511,3822324,0.18973511
3759091,0.18900375,3759091,0.18900375,3759091,0.18900375
3377544,0.18892859,3377544,0.18892859,3377544,0.18892859
3743587,0.18734385,3743587,0.18734385,3743587,0.18734385
2531110,0.18732482,2531110,0.18732482,2531110,0.18732482
3420758,0.18729062,3420758,0.18729062,3420758,0.18729062
3157440,0.18701941,3157440,0.18701941,3157440,0.18701941
