,title,abstract,body
3622346,0.45437098,0.45437098,0.45437098
3335656,0.39665234,0.39665234,0.39665234
3488388,0.3494998,0.3494998,0.3494998
2804036,0.34524497,0.34524497,0.34524497
2169208,0.34387282,0.34387282,0.34387282
2823093,0.33713165,0.33713165,0.33713165
3384962,0.32652184,0.32652184,0.32652184
2958974,0.32412693,0.32412693,0.32412693
2745147,0.32137412,0.32137412,0.32137412
3409401,0.3174391,0.3174391,0.3174391
3424868,0.3146429,0.3146429,0.3146429
3320293,0.31011596,0.31011596,0.31011596
2536182,0.3095422,0.3095422,0.3095422
3236138,0.30773455,0.30773455,0.30773455
3100118,0.30643186,0.30643186,0.30643186
3543541,0.30529672,0.30529672,0.30529672
2950136,0.30309427,0.30309427,0.30309427
3485486,0.29698503,0.29698503,0.29698503
3732623,0.29160228,0.29160228,0.29160228
3555573,0.28821412,0.28821412,0.28821412
3266655,0.2868071,0.2868071,0.2868071
3656703,0.28209323,0.28209323,0.28209323
3387584,0.28141943,0.28141943,0.28141943
3773459,0.280049,0.280049,0.280049
2637917,0.27914712,0.27914712,0.27914712
2868877,0.27813488,0.27813488,0.27813488
3519017,0.27755302,0.27755302,0.27755302
1479389,0.27658534,0.27658534,0.27658534
3336229,0.27621344,0.27621344,0.27621344
2989737,0.27553707,0.27553707,0.27553707
3629711,0.27523574,0.27523574,0.27523574
3379929,0.27481192,0.27481192,0.27481192
2778448,0.27205464,0.27205464,0.27205464
3535729,0.27204394,0.27204394,0.27204394
3655452,0.27097937,0.27097937,0.27097937
3492078,0.27080372,0.27080372,0.27080372
3080571,0.26998654,0.26998654,0.26998654
3114546,0.26998487,0.26998487,0.26998487
2803987,0.26625285,0.26625285,0.26625285
3032179,0.26468962,0.26468962,0.26468962
2951541,0.2643911,0.2643911,0.2643911
3792511,0.2642197,0.2642197,0.2642197
3596900,0.26355928,0.26355928,0.26355928
2840827,0.26119313,0.26119313,0.26119313
2841744,0.26007578,0.26007578,0.26007578
3867333,0.25872254,0.25872254,0.25872254
3420703,0.25835148,0.25835148,0.25835148
2884340,0.25794196,0.25794196,0.25794196
2990903,0.2565421,0.2565421,0.2565421
2906941,0.256407,0.256407,0.256407
2612756,0.25585827,0.25585827,0.25585827
2621130,0.25469214,0.25469214,0.25469214
3487017,0.24966788,0.24966788,0.24966788
