pmcid	title	abstract	body
3159367	4.258271	0.19396642	2.1392617
1087206	4.256885	0.1930663	1.7342267
2918838	4.220137	2.1391683	1.4488828
2613254	4.1206245	1.9455851	1.2625711
2871551	4.05046	2.7566242	1.5618875
3089823	4.0041094	0.17861208	0.18174301
2896582	3.9513175	0.12544623	1.335978
3531039	3.8715708	2.0602016	1.4259084
3707746	3.708884	2.022589	1.5330111
3466900	3.6936674	2.1938918	1.6696223
3276782	3.6448	1.9326408	1.7631723
1634852	3.5883904	2.2729802	1.2960987
2915524	3.5818658	2.1999495	1.4220475
3129533	3.57081	2.9758446	1.9291433
3097618	3.558129	2.558202	1.7890477
3015729	3.5535452	1.8341275	1.5525447
3237274	3.5164762	2.5053596	1.462706
3006379	3.5142827	2.1694276	1.5093426
3109763	3.4887996	2.6753254	0.22445306
3325009	3.4745917	2.6602376	1.8249209
3628477	3.4720316	0.20328562	1.8221482
2988176	3.466994	1.857057	1.4399016
2981784	3.4666944	2.1736655	1.6804961
3056427	3.4636867	0.14382984	0.0
2646781	3.4564238	2.641	1.2088305
3431067	3.4556637	1.7490715	1.3735272
1289282	3.4508245	1.4860461	1.3682375
2522257	3.4416711	2.3461528	1.1517851
3152527	3.4311604	2.0093238	1.507748
2987954	3.4306076	2.3444514	1.5071493
2740156	3.4229467	1.5433538	1.3751018
3651347	3.4138122	2.181184	1.3651499
3061929	3.3768978	2.0767264	1.5816894
2213673	3.3258352	2.456471	1.60027
3587909	3.315998	2.0183702	1.5895175
3697219	3.2970042	1.7383517	1.3186268
3806430	3.290766	2.0942507	1.5996386
2438319	3.2883325	0.19936517	0.20304473
3888003	3.273505	2.3193464	1.5808325
3860030	3.2663639	1.423593	1.4049448
3042228	3.2516599	0.17451738	2.1220856
1852545	3.1965277	1.4494913	1.4615445
3096430	3.178694	0.0	1.4225094
3041762	3.1565845	2.6702754	1.6857795
3423035	3.1475108	1.9271423	1.4626639
3776547	3.1439235	1.9232697	1.4587166
3485486	3.1282327	2.237847	1.5466614
3616125	3.1129093	0.16322063	1.5299665
3812827	3.1088088	0.0	1.4317324
3502786	3.1070752	1.890425	1.6493217
3878686	3.0970633	2.386118	1.5127023
3389875	3.094384	1.6875345	1.2941451
3113998	3.0939422	1.346352	1.5093019
2790738	3.0922399	0.14258373	1.5074474
3259112	3.0915706	2.2059414	1.5263147
3606122	3.0912027	0.11462627	1.2498009
3350064	3.09005	2.502132	1.7181592
3459797	3.0878808	2.2706187	1.24617
3699360	3.0845623	1.4804798	1.3023679
3573803	3.0812316	2.1948822	1.5150487
2923795	3.0746832	0.12505448	1.2600191
3042608	3.018902	2.0600271	1.5594077
3003679	3.0184026	2.0594969	1.5588669
3878962	2.9796844	2.193189	1.9015998
3570945	2.9793148	1.7217706	1.2781786
2919999	2.972073	2.5144637	1.5879034
3784095	2.9528062	2.1926847	1.3818005
2984466	2.9517534	1.2344298	1.380642
2726480	2.9390152	1.8962207	1.4646118
3860042	2.9341547	1.5326167	1.5125246
3184632	2.930381	1.5285429	1.1497617
3369045	2.927554	0.0	0.0
3036636	2.9275272	1.7350223	1.3019006
2769416	2.915434	0.16154692	0.0
3420375	2.9032578	1.9760654	1.186304
3830271	2.8990984	1.7634958	1.1817572
3443668	2.8967018	1.1933413	1.3855852
3543180	2.8952332	1.422329	1.3748224
2803824	2.8901384	0.0	1.4296522
3342549	2.886782	2.0602863	1.5868486
3197540	2.884425	1.5711098	1.423426
1940287	2.8814368	0.0	1.4201701
3053557	2.8808048	2.0538929	1.5803354
2527496	2.8785062	1.8314912	1.5552331
2740151	2.877826	2.2133865	1.3979466
2848680	2.8762584	0.0	0.0
2246062	2.8760598	1.562162	1.1947576
3818784	2.8736389	2.3482594	1.510622
3669561	2.8726068	0.119004995	0.0
3080321	2.8701327	1.4745538	1.3565437
3002375	2.8672633	1.1617177	1.3534073
3224500	2.8509252	1.5370077	1.3686385
