,title,abstract,body
3712160,0.27567807,0.27567807,0.27567807
3572682,0.25066617,0.25066617,0.25066617
2790183,0.24425086,0.24425086,0.24425086
1151650,0.23062493,0.23062493,0.23062493
3430116,0.22820204,0.22820204,0.22820204
3856285,0.22463843,0.22463843,0.22463843
3888001,0.22372426,0.22372426,0.22372426
3328892,0.22304858,0.22304858,0.22304858
3335538,0.21490352,0.21490352,0.21490352
1592293,0.2138825,0.2138825,0.2138825
2984361,0.21311438,0.21311438,0.21311438
3011308,0.2118194,0.2118194,0.2118194
2721934,0.20890504,0.20890504,0.20890504
3555576,0.20779401,0.20779401,0.20779401
3366320,0.20713004,0.20713004,0.20713004
2678974,0.20664269,0.20664269,0.20664269
2760694,0.20471206,0.20471206,0.20471206
2801475,0.20320885,0.20320885,0.20320885
3437809,0.20007923,0.20007923,0.20007923
3129103,0.19915134,0.19915134,0.19915134
2726500,0.19887948,0.19887948,0.19887948
3368748,0.19855952,0.19855952,0.19855952
3505433,0.1983363,0.1983363,0.1983363
1824728,0.19782375,0.19782375,0.19782375
3500825,0.1977603,0.1977603,0.1977603
2984347,0.19721255,0.19721255,0.19721255
2653043,0.19687301,0.19687301,0.19687301
3435926,0.19633725,0.19633725,0.19633725
2776372,0.19561158,0.19561158,0.19561158
3424789,0.19536853,0.19536853,0.19536853
2657286,0.19432011,0.19432011,0.19432011
2636749,0.1941854,0.1941854,0.1941854
183865,0.19347408,0.19347408,0.19347408
2780638,0.19329104,0.19329104,0.19329104
2672237,0.1913752,0.1913752,0.1913752
3734632,0.19033574,0.19033574,0.19033574
2572041,0.1902122,0.1902122,0.1902122
3582057,0.18931437,0.18931437,0.18931437
3518713,0.18863402,0.18863402,0.18863402
3037981,0.18647414,0.18647414,0.18647414
3679768,0.1845441,0.1845441,0.1845441
3638545,0.1843856,0.1843856,0.1843856
2890888,0.18390284,0.18390284,0.18390284
3679814,0.18307444,0.18307444,0.18307444
3451906,0.18132289,0.18132289,0.18132289
2896582,0.18107484,0.18107484,0.18107484
3836935,0.17924508,0.17924508,0.17924508
3440507,0.17878355,0.17878355,0.17878355
1586188,0.17820834,0.17820834,0.17820834
2954406,0.17801726,0.17801726,0.17801726
2900165,0.17751035,0.17751035,0.17751035
3079137,0.17749915,0.17749915,0.17749915
2517059,0.17738983,0.17738983,0.17738983
3891316,0.17703713,0.17703713,0.17703713
3128593,0.17678264,0.17678264,0.17678264
2700440,0.17659703,0.17659703,0.17659703
3596579,0.17531335,0.17531335,0.17531335
3369462,0.17529348,0.17529348,0.17529348
3031010,0.17524227,0.17524227,0.17524227
3213721,0.17507437,0.17507437,0.17507437
2827053,0.17442788,0.17442788,0.17442788
3696212,0.17364232,0.17364232,0.17364232
