,title,abstract,body
3184713,0.37412515,0.37412515,0.37412515
3670525,0.3646459,0.3646459,0.3646459
3108320,0.3589519,0.3589519,0.3589519
3533459,0.31476837,0.31476837,0.31476837
3876013,0.31346747,0.31346747,0.31346747
2365968,0.31110382,0.31110382,0.31110382
2873453,0.29625198,0.29625198,0.29625198
3229059,0.29489404,0.29489404,0.29489404
2792863,0.29324153,0.29324153,0.29324153
3787617,0.2925125,0.2925125,0.2925125
2739158,0.292216,0.292216,0.292216
3290187,0.2841743,0.2841743,0.2841743
3101735,0.27734348,0.27734348,0.27734348
3877581,0.2701377,0.2701377,0.2701377
3371531,0.2694048,0.2694048,0.2694048
3817756,0.26650134,0.26650134,0.26650134
3860035,0.26623052,0.26623052,0.26623052
3889310,0.26341906,0.26341906,0.26341906
3443661,0.2625782,0.2625782,0.2625782
3401767,0.26154375,0.26154375,0.26154375
2840913,0.2565967,0.2565967,0.2565967
3635634,0.2552715,0.2552715,0.2552715
2852748,0.25200018,0.25200018,0.25200018
3555597,0.25181487,0.25181487,0.25181487
3132932,0.2516762,0.2516762,0.2516762
3878479,0.2501231,0.2501231,0.2501231
3881447,0.25009206,0.25009206,0.25009206
3481419,0.2483686,0.2483686,0.2483686
3679696,0.24641846,0.24641846,0.24641846
3700494,0.2461251,0.2461251,0.2461251
3179011,0.24542472,0.24542472,0.24542472
2906497,0.24510275,0.24510275,0.24510275
3447652,0.24482569,0.24482569,0.24482569
3664409,0.24432142,0.24432142,0.24432142
2939514,0.24356452,0.24356452,0.24356452
3657224,0.24322698,0.24322698,0.24322698
3294399,0.24185216,0.24185216,0.24185216
3555380,0.24138188,0.24138188,0.24138188
3248587,0.24084412,0.24084412,0.24084412
3417860,0.24021499,0.24021499,0.24021499
3810558,0.24002206,0.24002206,0.24002206
3419122,0.23987834,0.23987834,0.23987834
3778789,0.23860857,0.23860857,0.23860857
3299326,0.23752035,0.23752035,0.23752035
2244628,0.23734497,0.23734497,0.23734497
3830836,0.23663814,0.23663814,0.23663814
3821110,0.2359984,0.2359984,0.2359984
3603123,0.23518609,0.23518609,0.23518609
3401135,0.23377459,0.23377459,0.23377459
3524676,0.2337105,0.2337105,0.2337105
3662609,0.23369277,0.23369277,0.23369277
3665880,0.23359366,0.23359366,0.23359366
3789905,0.23352833,0.23352833,0.23352833
2726542,0.23332436,0.23332436,0.23332436
3752477,0.23311687,0.23311687,0.23311687
2829622,0.23235568,0.23235568,0.23235568
3853603,0.23103397,0.23103397,0.23103397
2740090,0.23066105,0.23066105,0.23066105
3514192,0.23012985,0.23012985,0.23012985
3684080,0.22951785,0.22951785,0.22951785
3500067,0.22849615,0.22849615,0.22849615
3434377,0.22523238,0.22523238,0.22523238
3420376,0.22475833,0.22475833,0.22475833
3420449,0.22149968,0.22149968,0.22149968
3759076,0.22050709,0.22050709,0.22050709
3459251,0.21873882,0.21873882,0.21873882
3853898,0.2183769,0.2183769,0.2183769
3145465,0.21758094,0.21758094,0.21758094
2851121,0.21658161,0.21658161,0.21658161
3341442,0.21596168,0.21596168,0.21596168
2453643,0.21554506,0.21554506,0.21554506
3227237,0.21518464,0.21518464,0.21518464
2914084,0.21353121,0.21353121,0.21353121
3529232,0.21302654,0.21302654,0.21302654
3094681,0.21289234,0.21289234,0.21289234
3679987,0.21263269,0.21263269,0.21263269
2856400,0.21178357,0.21178357,0.21178357
3782585,0.21122155,0.21122155,0.21122155
3032694,0.21017578,0.21017578,0.21017578
3443649,0.20881346,0.20881346,0.20881346
2767137,0.20849878,0.20849878,0.20849878
3841693,0.20848693,0.20848693,0.20848693
3064649,0.2084038,0.2084038,0.2084038
2827062,0.2081384,0.2081384,0.2081384
3713321,0.20779574,0.20779574,0.20779574
3596912,0.20739767,0.20739767,0.20739767
3499307,0.2073257,0.2073257,0.2073257
3760298,0.20731227,0.20731227,0.20731227
3783730,0.20714661,0.20714661,0.20714661
3505767,0.20701271,0.20701271,0.20701271
3108543,0.20536765,0.20536765,0.20536765
2933896,0.20524833,0.20524833,0.20524833
3581257,0.20511055,0.20511055,0.20511055
2561009,0.20483887,0.20483887,0.20483887
3129533,0.20455262,0.20455262,0.20455262
3759774,0.2043343,0.2043343,0.2043343
3046560,0.20343666,0.20343666,0.20343666
3191848,0.20336436,0.20336436,0.20336436
2847699,0.20318726,0.20318726,0.20318726
3509389,0.20301008,0.20301008,0.20301008
3390118,0.20300534,0.20300534,0.20300534
3884177,0.20279926,0.20279926,0.20279926
3113181,0.20265831,0.20265831,0.20265831
3109836,0.20216034,0.20216034,0.20216034
3665244,0.20196065,0.20196065,0.20196065
3699953,0.20139991,0.20139991,0.20139991
3326847,0.2013779,0.2013779,0.2013779
3320538,0.20098504,0.20098504,0.20098504
3665879,0.20073874,0.20073874,0.20073874
3696248,0.20052545,0.20052545,0.20052545
3390214,0.20035836,0.20035836,0.20035836
2740343,0.19997314,0.19997314,0.19997314
3619691,0.19991119,0.19991119,0.19991119
3697219,0.19948547,0.19948547,0.19948547
3713307,0.19938119,0.19938119,0.19938119
3296298,0.19758888,0.19758888,0.19758888
3141698,0.19704226,0.19704226,0.19704226
3696247,0.19641776,0.19641776,0.19641776
3097544,0.1963861,0.1963861,0.1963861
3514397,0.19631188,0.19631188,0.19631188
2651898,0.19606057,0.19606057,0.19606057
3505428,0.19560665,0.19560665,0.19560665
3479950,0.19554089,0.19554089,0.19554089
3666332,0.19534357,0.19534357,0.19534357
3199417,0.19483969,0.19483969,0.19483969
3030027,0.19432266,0.19432266,0.19432266
3371528,0.19353637,0.19353637,0.19353637
3662920,0.19299872,0.19299872,0.19299872
3394864,0.19199912,0.19199912,0.19199912
2700617,0.19192983,0.19192983,0.19192983
3547807,0.19137986,0.19137986,0.19137986
3479949,0.19114777,0.19114777,0.19114777
3825933,0.19073215,0.19073215,0.19073215
3389875,0.19026607,0.19026607,0.19026607
2737754,0.18986286,0.18986286,0.18986286
2661253,0.18977681,0.18977681,0.18977681
2721944,0.18975712,0.18975712,0.18975712
2929622,0.18914828,0.18914828,0.18914828
3225573,0.18902236,0.18902236,0.18902236
503388,0.18835717,0.18835717,0.18835717
3465201,0.1873355,0.1873355,0.1873355
3541700,0.18726575,0.18726575,0.18726575
3566383,0.18720943,0.18720943,0.18720943
2697592,0.18713829,0.18713829,0.18713829
3573796,0.18699224,0.18699224,0.18699224
2946039,0.1867304,0.1867304,0.1867304
2782212,0.18667936,0.18667936,0.18667936
3085068,0.18646698,0.18646698,0.18646698
2726513,0.18644886,0.18644886,0.18644886
3047986,0.18621863,0.18621863,0.18621863
2763732,0.18616486,0.18616486,0.18616486
2999614,0.18614356,0.18614356,0.18614356
2994881,0.186032,0.186032,0.186032
3519250,0.18534584,0.18534584,0.18534584
2726553,0.18496208,0.18496208,0.18496208
2919991,0.18492489,0.18492489,0.18492489
3522317,0.1847507,0.1847507,0.1847507
2834752,0.18465671,0.18465671,0.18465671
2775875,0.18383332,0.18383332,0.18383332
2329656,0.18382256,0.18382256,0.18382256
3778233,0.18285277,0.18285277,0.18285277
2840896,0.18280266,0.18280266,0.18280266
2636749,0.18273486,0.18273486,0.18273486
2769460,0.18149294,0.18149294,0.18149294
2693835,0.18148012,0.18148012,0.18148012
3253404,0.18122317,0.18122317,0.18122317
2627819,0.18121019,0.18121019,0.18121019
3015350,0.18117581,0.18117581,0.18117581
3062807,0.18096359,0.18096359,0.18096359
3015426,0.18078806,0.18078806,0.18078806
3619668,0.18062532,0.18062532,0.18062532
3400884,0.18023118,0.18023118,0.18023118
2693828,0.17975374,0.17975374,0.17975374
2833776,0.17952314,0.17952314,0.17952314
3834703,0.17921135,0.17921135,0.17921135
2686945,0.17915374,0.17915374,0.17915374
3325862,0.17899139,0.17899139,0.17899139
2733971,0.1787026,0.1787026,0.1787026
3830833,0.17866068,0.17866068,0.17866068
2784587,0.17840545,0.17840545,0.17840545
3259500,0.17822209,0.17822209,0.17822209
3770039,0.17819755,0.17819755,0.17819755
2740215,0.17789747,0.17789747,0.17789747
3756527,0.17754954,0.17754954,0.17754954
3423009,0.17750114,0.17750114,0.17750114
3152183,0.17738959,0.17738959,0.17738959
3503277,0.17734613,0.17734613,0.17734613
3573453,0.17706989,0.17706989,0.17706989
3726919,0.17704962,0.17704962,0.17704962
2887898,0.17669703,0.17669703,0.17669703
3699928,0.17644826,0.17644826,0.17644826
3205365,0.17643313,0.17643313,0.17643313
3267056,0.17634244,0.17634244,0.17634244
3667310,0.17632093,0.17632093,0.17632093
2992207,0.17588843,0.17588843,0.17588843
3350215,0.17575228,0.17575228,0.17575228
3741949,0.17563081,0.17563081,0.17563081
3351997,0.17541856,0.17541856,0.17541856
3447825,0.17516261,0.17516261,0.17516261
3693614,0.17508835,0.17508835,0.17508835
3506220,0.17503811,0.17503811,0.17503811
3745119,0.17471687,0.17471687,0.17471687
3375150,0.1745061,0.1745061,0.1745061
2940264,0.17441869,0.17441869,0.17441869
3749590,0.17427841,0.17427841,0.17427841
3893553,0.17427303,0.17427303,0.17427303
3749113,0.17418134,0.17418134,0.17418134
3546197,0.17412576,0.17412576,0.17412576
3853387,0.17411791,0.17411791,0.17411791
3735335,0.17401665,0.17401665,0.17401665
3179762,0.17343819,0.17343819,0.17343819
3087320,0.17341956,0.17341956,0.17341956
3632172,0.17333472,0.17333472,0.17333472
3130997,0.17284039,0.17284039,0.17284039
3667282,0.17258652,0.17258652,0.17258652
3623460,0.17237404,0.17237404,0.17237404
2827156,0.17190303,0.17190303,0.17190303
3383153,0.17177531,0.17177531,0.17177531
2686872,0.17157987,0.17157987,0.17157987
3555379,0.17156282,0.17156282,0.17156282
3027451,0.17137547,0.17137547,0.17137547
2633325,0.17133512,0.17133512,0.17133512
3276904,0.17122327,0.17122327,0.17122327
2614942,0.1703325,0.1703325,0.1703325
2858844,0.17032924,0.17032924,0.17032924
3382416,0.17027178,0.17027178,0.17027178
3020603,0.17008449,0.17008449,0.17008449
2983030,0.16998371,0.16998371,0.16998371
3324737,0.16972923,0.16972923,0.16972923
2729302,0.16950655,0.16950655,0.16950655
2740183,0.16939455,0.16939455,0.16939455
3012837,0.16929772,0.16929772,0.16929772
3192522,0.16879751,0.16879751,0.16879751
3282934,0.16873601,0.16873601,0.16873601
3818773,0.16865973,0.16865973,0.16865973
3169496,0.1684026,0.1684026,0.1684026
3423709,0.16836417,0.16836417,0.16836417
2412891,0.1680316,0.1680316,0.1680316
