pmcid	title	abstract	body
3769411	3.8996277	1.369068	0.5659861
2684510	3.6666086	1.311641	0.556887
3435916	3.27934	1.2748303	0.0
3022204	3.1553042	1.223141	0.6939405
2930659	3.1203246	0.1048107	0.97470814
3312071	2.8992412	1.2690243	0.6899964
2235827	2.8758514	1.2780417	0.0
3109347	2.7952754	1.2624424	0.72937
2602994	2.772539	1.1766466	0.7687631
3439425	2.7697527	1.1738225	0.56462
3827896	2.7663796	1.170403	0.561186
3432199	2.7331822	0.055744473	0.6625515
1808067	2.7250264	0.04470426	0.75057095
3639671	2.693191	0.06489689	0.92096084
3538779	2.6887813	1.1513422	0.5824233
2887505	2.6875181	1.1500634	0.0
2884453	2.680367	0.06338002	0.86996704
3843908	2.6786697	0.9515439	0.7145829
3712156	2.6571958	1.1628243	0.0
3519260	2.6357987	0.0	0.64880836
3162710	2.6036255	1.2546849	0.57472366
3835276	2.6024206	1.0595827	0.7848359
3662144	2.601671	1.2269468	0.6977615
2503962	2.5998735	1.4961692	0.58281934
3625594	2.5836809	1.275115	0.6961134
3410700	2.5783675	1.0748311	0.0
3751269	2.5780683	0.07754935	0.83236295
3022319	2.5588908	1.2790489	0.7092449
2889886	2.544699	1.4511667	0.6201356
3189473	2.5336351	1.6518683	0.0
3140527	2.481262	1.265863	0.609806
3491304	2.386568	1.1500378	0.62662756
2840972	2.3849072	1.124744	0.6396576
2811397	2.3848085	0.0	0.0
3560147	2.3838742	0.0	0.6967386
1995203	2.371875	0.0	0.0
2365966	2.3666022	0.77283406	0.63629955
3863961	2.3653889	0.0	0.0
3356853	2.3618064	0.9835411	0.0
3231647	2.3611822	0.040684983	0.7579895
2740122	2.354383	1.3388345	0.6430515
2892497	2.3519583	1.336374	0.6405812
3637105	2.3472617	1.1555254	0.62575376
3420385	2.3409975	1.3097624	0.64540505
2964744	2.3369057	1.3919414	0.64232785
3548361	2.3355381	0.03540251	0.6409354
2329657	2.3246553	0.0	0.0
2936925	2.3069701	0.0	0.0
3432328	2.302983	0.0	0.6420955
3853920	2.279467	0.0	0.0
2803981	2.27437	0.06108972	0.69944704
3813311	2.2738636	0.97293794	0.0
3821706	2.2733243	0.75821906	0.55665874
3234656	2.2453544	1.3718967	0.6699454
2575206	2.2446423	1.3711756	0.66922134
3410066	2.2345877	1.3609958	0.78347266
3614335	2.1772318	1.3908525	0.79359657
2740002	2.1734712	1.3870364	0.0
