pmcid	title	abstract	body
3389875	7.515626	4.0231867	2.847953
2936319	7.3467207	3.8881292	2.4348645
2627819	7.0856586	3.8505726	2.4981253
3118206	7.0818157	4.063236	2.414672
3547807	7.051817	4.044323	2.7288916
3437640	6.8946543	3.9759593	2.4027905
3657224	6.714388	0.20987159	0.20987159
3129533	6.6764865	4.1523833	2.473336
3570945	6.633357	4.1974287	2.573844
2896582	6.5086565	0.08241784	2.2250488
3697219	6.4979796	3.3893447	2.1744838
3087320	6.45156	4.2096677	2.5398316
3325862	6.429273	3.6040728	2.4238048
2767137	6.3683457	3.302568	2.3199549
2856382	6.276672	3.6951132	2.2371647
2213673	6.275899	3.4666646	2.1022413
3041762	6.250475	3.7615275	2.2836654
3492078	6.2329044	3.4798052	2.1467602
2442120	6.2126036	3.5660706	2.3025553
2918838	6.1141176	3.159916	1.8955243
3197540	6.064482	3.3351493	2.237593
3628477	6.050489	0.1407342	2.2294428
3152527	6.019641	3.4908962	2.0786338
3651347	6.0161395	3.4451866	2.2268085
2613254	5.959293	3.0877638	2.1545017
3141698	5.8838897	3.4033275	2.2425547
3431067	5.871655	3.001619	1.8932693
3089823	5.870446	0.08450926	0.0
3599736	5.867859	0.13512404	2.2418213
2923795	5.8585076	0.10396284	2.02787
2783047	5.8539057	3.8158214	2.1470919
1087206	5.8520055	0.0	1.8539213
1289282	5.8471684	3.2690992	2.017428
2994473	5.8335485	3.4811993	2.2774312
3000625	5.8240376	3.471689	2.3538659
2646781	5.7905765	3.2860446	1.9075918
2981784	5.7856975	3.1388087	2.032261
3061929	5.7806935	3.3715413	2.0071146
3423035	5.762203	3.0139313	1.9155738
2915524	5.741967	3.095079	1.9511889
3776547	5.74084	3.0939515	1.9500613
2871551	5.7393184	3.3579988	1.9283154
3606122	5.674758	0.10798133	1.8703018
2895205	5.6717257	3.1792142	1.9154342
3459797	5.6429057	3.0657363	1.8384496
3337735	5.6412983	3.128159	2.1388886
3002375	5.632392	3.1123393	2.0200303
2919999	5.59211	3.2237864	1.9145812
3094683	5.5905547	3.3209498	2.1037447
3269978	5.588584	3.5910172	2.2048688
2270857	5.5863676	2.888016	2.1089392
3883204	5.568871	3.7219381	2.2877674
3284562	5.475502	2.881559	1.9389014
3443668	5.464361	2.6742446	1.8536274
