pmcid relevancy abstract body title
101408 2 0.10343128 0.09442411 0.10343128
1190209 2 0.19394203 0.17671357 0.19394203
1308854 2 4.663364 0.1667975 0.1818528
1533839 2 0.20873882 0.1901959 0.20873882
1564027 2 0.14720446 0.13438536 0.14720446
1784581 2 0.03514611 0.032085456 0.03514611
1802871 2 0.14221288 0.12982848 0.14221288
1805504 2 0.20083995 0.18552339 0.20083995
1941736 2 3.5508926 0.16187875 0.17649007
2020466 2 0.24564907 0.22603123 0.24564907
2048661 2 4.634602 0.15262799 0.16750827
2169253 2 0.20842084 0.18990618 0.20842084
2277457 2 3.6354196 0.14480296 0.1586158
2364524 2 0.094161905 0.08579721 0.094161905
2396646 2 0.15594292 0.14348914 0.15594292
2442721 2 0.18588896 0.16970108 0.18588896
2500040 2 0.17495757 0.16098526 0.17495757
2621393 2 0.2570607 0.23745662 0.2570607
2621421 2 0.15647636 0.14284983 0.15647636
2632633 2 0.14489399 0.13289845 0.14489399
2662423 2 0.20616584 0.18785149 0.20616584
2671450 2 0.19212352 0.17505659 0.19212352
2716359 2 0.05970843 0.054508805 0.05970843
2771031 2 5.2208557 0.1223912 0.13406616
2817700 2 3.31322 0.11023487 0.11980244
2821918 2 3.3302824 0.12982547 0.1422096
2878224 2 0.12271523 0.11202874 0.12271523
2891813 2 0.34749752 0.31662825 0.34749752
2993958 2 0.171036 0.15687622 0.171036
3002144 2 0.23319335 0.21247809 0.23319335
3010999 2 0.1439612 0.13246429 0.1439612
3062442 2 0.17052291 0.1575184 0.17052291
3064892 2 0.17523652 0.16187254 0.17523652
3071276 2 0.19604656 0.17863114 0.19604656
3108318 2 0.19923574 0.18274134 0.19923574
3121651 2 0.13811429 0.12668002 0.13811429
3123601 2 0.22020517 0.20102891 0.22020517
3135562 2 0.15196015 0.1387269 0.15196015
3161113 2 0.1819093 0.16606797 0.1819093
3170143 2 0.11938847 0.10878282 0.11938847
3224336 2 0.30500847 0.28065014 0.30500847
3268102 2 0.17674872 0.1610476 0.17674872
3294402 2 0.15099554 0.13784632 0.15099554
3294539 2 0.19932427 0.18196638 0.19932427
3294930 2 5.4207354 0.13612986 0.14794491
3308704 2 5.1866813 0.14531152 0.15842745
3329036 2 0.19927993 0.1815773 0.19927993
3346948 2 0.21271835 0.19419406 0.21271835
3348951 2 0.1999731 0.18255873 0.1999731
3350389 2 0.11936174 0.10875847 0.11936174
3395692 2 0.27074462 0.24716718 0.27074462
3453493 2 0.25195658 0.2295745 0.25195658
3499992 2 0.18033308 0.16431355 0.18033308
3570914 2 0.20479114 0.18917327 0.20479114
3579948 2 4.2595015 0.23969537 0.26256007
3581530 2 0.14785184 0.13471772 0.14785184
3581554 2 0.16790746 0.15299173 0.16790746
3659284 2 0.23901215 0.21922474 0.23901215
3673823 2 0.20962226 0.19226798 0.20962226
3695962 2 0.15944363 0.14671029 0.15944363
3719243 2 0.21974678 0.20219755 0.21974678
3765867 2 0.18401116 0.16766489 0.18401116
3776740 2 0.2958526 0.27329013 0.2958526
3810122 2 0.21238363 0.19480073 0.21238363
3874601 2 3.9237921 0.20860867 0.2289467
3877878 2 0.17763853 0.16216913 0.17763853
3878108 2 4.3710003 0.15221299 0.16705279
3878349 2 0.11014596 0.10174595 0.11014596
545196 2 0.15637064 0.14275332 0.15637064
