pmcid relevancy tfidf bm25 ib lmd lmj dfr
1183200 1 0.16076425 0.1608312 0.23785053 0.23744167 0.23785053 0.0
122079 2 0.1239049 0.1239049 0.18366943 0.18366943 0.18366943 0.0
1488855 1 0.05781954 0.05781954 0.084524505 0.085727535 0.084524505 0.0
1784748 2 0.07484595 0.07487518 0.11091776 0.110832214 0.11091776 0.0
1885440 2 0.102168724 0.10220672 0.15074386 0.15004073 0.15074386 0.0
2213305 2 0.098644845 0.098644845 0.14614321 0.14614321 0.14614321 0.0
2374788 1 0.100485824 0.100485824 0.14765404 0.14822906 0.14765404 0.0
2442959 1 0.033614542 0.033614542 0.049736414 0.049736414 0.049736414 0.0
2442981 2 0.11927125 0.11927125 0.17485645 0.17466098 0.17466098 0.0
2569193 2 0.071683116 0.071683116 0.10608429 0.10598066 0.10607898 0.0
2572068 2 0.19395965 0.19403644 0.28527552 0.28537887 0.28527552 0.0
2572586 1 0.041228645 0.041228645 0.061359204 0.061483987 0.061483987 0.0
2600825 2 0.10947237 0.10947237 0.15932925 0.15926129 0.15926129 0.0
2609891 2 0.058213465 0.058213465 0.08563022 0.085542664 0.085542664 0.0
2678139 1 0.21123265 0.21123265 0.3104614 0.31041044 0.3105801 0.0
2688143 1 0.07047483 0.07047483 0.104372226 0.1043974 0.1043974 0.0
2740293 2 0.20804137 0.20804137 0.3075851 0.30859438 0.3088244 0.0
2760525 1 0.062152207 0.062152207 0.08916491 0.08921963 0.08922861 0.0
2783077 2 0.19630525 0.19630525 0.29056707 0.29133472 0.29147622 0.0
2816793 2 0.05441028 0.05441028 0.0804476 0.0804476 0.0804476 0.0
2821393 2 0.13734996 0.13734996 0.20239548 0.20239548 0.20239548 0.0
2830945 2 0.25656122 0.25656122 0.37961704 0.37961704 0.37961704 0.0
2833155 2 0.121653095 0.12170243 0.17697632 0.17643745 0.17697632 0.0
2836925 2 0.17629479 0.17629479 0.26051497 0.26060098 0.26060098 0.0
2848006 2 0.121388905 0.121388905 0.17696768 0.17696768 0.17696768 0.0
2853788 2 0.087579116 0.087579116 0.12954494 0.12954494 0.12954494 0.0
3016143 2 0.11214648 0.11214648 0.16543406 0.16546805 0.16546805 0.0
3031281 1 0.11980827 0.11985144 0.17454883 0.17381608 0.17454883 0.0
3041043 1 0.12068914 0.12068914 0.17898525 0.17898525 0.17898525 0.0
3047832 1 0.093170285 0.093170285 0.13795786 0.13795786 0.13795786 0.0
3068583 2 0.18600407 0.18600407 0.26983553 0.2707097 0.270837 0.0
3073909 2 0.12023114 0.12027364 0.1774331 0.17658986 0.1774331 0.0
3075160 1 0.19167507 0.19167507 0.2838075 0.2836536 0.28389317 0.0
3101356 2 0.0 0.0 0.0 0.0 0.0 0.0
3108731 1 0.11103831 0.11103831 0.16372445 0.1635621 0.1635621 0.0
3113153 2 0.13736613 0.13736613 0.20278023 0.20272264 0.20272264 0.0
3113183 2 0.1977386 0.1977386 0.29242766 0.29242766 0.29242766 0.0
3122091 1 0.12235157 0.12235157 0.18023095 0.18010944 0.18010944 0.0
3122097 1 0.17494024 0.17501956 0.2584273 0.25752467 0.2584273 0.0
3148882 1 0.15209337 0.15209337 0.22517872 0.22517872 0.22517872 0.0
3183690 2 0.153908 0.15396261 0.22499728 0.22436227 0.22499728 0.0
3192212 2 0.095000505 0.095000505 0.14034651 0.14077356 0.14081705 0.0
3214511 1 0.18100415 0.18100415 0.26717842 0.26670575 0.2667497 0.0
3227160 2 0.17001985 0.17001985 0.24742827 0.24778906 0.24796733 0.0
3229087 1 0.110738434 0.110738434 0.1632401 0.16322248 0.16322248 0.0
3251528 1 0.06857638 0.06857638 0.10160089 0.10159015 0.10159015 0.0
3299162 1 0.043477442 0.043477442 0.06440584 0.064467005 0.064467005 0.0
3304619 2 0.19481172 0.19488513 0.28812438 0.28719747 0.28812438 0.0
3328985 1 0.12492914 0.12492914 0.18084481 0.18079375 0.18079375 0.0
3351958 2 0.17293572 0.17293572 0.25465244 0.252405 0.25465244 0.0
3395037 1 0.0846944 0.0846944 0.12508167 0.12602983 0.1259851 0.0
3396109 1 0.0 0.0 0.0 0.0 0.0 0.0
3423789 1 0.12070313 0.12070313 0.17915025 0.17915025 0.17915025 0.0
3438050 2 0.12698694 0.12698694 0.18759194 0.18759194 0.18759194 0.0
3468117 2 0.0 0.0 0.0 0.0 0.0 0.0
3628218 2 0.16770631 0.16770631 0.2482405 0.24679762 0.2482405 0.0
3628469 2 0.19695276 0.19695276 0.2862196 0.28766707 0.28766266 0.0
3649156 2 0.17533392 0.17533392 0.2593031 0.25868452 0.2593031 0.0
3680866 2 0.10855748 0.10855748 0.15990464 0.15977347 0.15977347 0.0
3711740 2 0.0 0.0 0.0 0.0 0.0 0.0
3782364 1 0.047413927 0.047413927 0.066147916 0.066121474 0.066121474 0.0
3783828 2 0.18608943 0.18608943 0.2759558 0.2759558 0.2759558 0.0
3806164 2 0.16414127 0.16414127 0.24217957 0.24210891 0.24210891 0.0
3843899 2 0.10896041 0.10896041 0.16053483 0.16040885 0.16040885 0.0
3859883 1 0.18458124 0.18458124 0.27380937 0.27380937 0.27380937 0.0
3886912 2 0.12868293 0.12868293 0.19026212 0.18995951 0.19026212 0.0
