	tfidf	bm25	ib	lmd	lmj	dfr	relevancy
17815.0	0.07713428	0.077103645	0.115672566	0.11658206	0.11611572	0.11594509	0
31339.0	0.02808658	0.028117048	0.041024372	0.041109852	0.041102402	0.041178532	0
31339.0	0.02808658	0.028117048	0.041024372	0.041109852	0.041102402	0.041178532	0
35282.0	0.026580775	0.026902892	0.0387168	0.03917166	0.03897021	0.039163306	2
56591.0	0.05957639	0.059483644	0.088943854	0.08980591	0.089533076	0.08956363	0
60006.0	0.039223447	0.039479394	0.051555615	0.051868964	0.052043352	0.051982075	0
60006.0	0.039223447	0.039479394	0.051555615	0.051868964	0.052043352	0.051982075	0
61032.0	0.04423538	0.044795014	0.06312482	0.0631776	0.063665085	0.0639869	0
61035.0	0.03135929	0.03175295	0.046391714	0.046670876	0.046806313	0.046574317	0
65680.0	0.053250387	0.054133087	0.080738	0.081128694	0.08106922	0.081306644	0
65703.0	0.051066678	0.051798135	0.074622996	0.074680306	0.07449205	0.074659646	0
115203.0	0.0379151	0.03818513	0.058026463	0.058383796	0.05938991	0.05843134	0
128942.0	0.055663127	0.05688473	0.08284138	0.083046064	0.08351868	0.083079964	0
128942.0	0.055663127	0.05688473	0.08284138	0.083046064	0.08351868	0.083079964	0
130037.0	0.027407669	0.027176714	0.03885643	0.038713265	0.038455	0.03856841	0
137602.0	0.028449792	0.028657429	0.039195277	0.03948099	0.03964426	0.03953038	0
137602.0	0.028449792	0.028657429	0.039195277	0.03948099	0.03964426	0.03953038	0
137602.0	0.028449792	0.028657429	0.039195277	0.03948099	0.03964426	0.03953038	0
137602.0	0.028449792	0.028657429	0.039195277	0.03948099	0.03964426	0.03953038	0
138681.0	0.033326853	0.033407442	0.049548347	0.04955465	0.049822476	0.049526267	0
140017.0	0.05352524	0.053438038	0.079636075	0.07964803	0.07978736	0.07990337	0
149378.0	0.052213017	0.053276893	0.07678691	0.07674771	0.07747167	0.07679912	0
149382.0	0.061316643	0.061936434	0.091895536	0.0922239	0.09254255	0.09243608	0
149382.0	0.061316643	0.061936434	0.091895536	0.0922239	0.09254255	0.09243608	0
149412.0	0.029140107	0.029200725	0.043868896	0.04386416	0.044087812	0.043839995	0
149412.0	0.029140107	0.029200725	0.043868896	0.04386416	0.044087812	0.043839995	0
161797.0	0.039159436	0.039415736	0.058666393	0.058616158	0.059007693	0.058932453	2
165035.0	0.031834103	0.031917673	0.0483814	0.048450124	0.048571534	0.048543535	2
165046.0	0.03009942	0.029979188	0.04334368	0.043329567	0.04313225	0.04329542	0
165061.0	0.033266276	0.033504862	0.05053363	0.0506844	0.05080531	0.05075175	2
169178.0	0.039424706	0.039652236	0.057677504	0.057837315	0.05781233	0.05783427	0
184375.0	0.027795399	0.027796946	0.041230522	0.04128739	0.041289993	0.041422278	0
193724.0	0.03226727	0.032507908	0.048307996	0.04831582	0.048335068	0.0482905	2
194618.0	0.047212157	0.04745162	0.06917755	0.069106154	0.070561856	0.06964341	0
194767.0	0.034194496	0.03430683	0.051165268	0.051183138	0.0512784	0.05123166	0
239964.0	0.033802617	0.034104023	0.05067418	0.050938528	0.050937444	0.051028177	0
270003.0	0.030641653	0.030681	0.045838993	0.045949776	0.045942005	0.045996472	0
270035.0	0.030674715	0.03075159	0.04599372	0.04602135	0.04609601	0.046075612	0
317342.0	0.02837304	0.028569141	0.042430468	0.04241032	0.042456206	0.042494863	0
317472.0	0.03887808	0.038356047	0.058876436	0.058631763	0.058464363	0.05835931	0
324410.0	0.029724106	0.02956416	0.040111553	0.040140532	0.039995138	0.040112477	0
343279.0	0.03679156	0.037051145	0.053512007	0.05350088	0.053832	0.053811874	0
368168.0	0.02634011	0.026361056	0.040400185	0.04045345	0.040489025	0.040441655	0
379314.0	0.028544199	0.028376622	0.041526463	0.04148566	0.04131367	0.04141952	0
400510.0	0.06885625	0.06949623	0.10547473	0.10603279	0.10821998	0.10659357	0
416457.0	0.027816758	0.027759355	0.041299835	0.04131818	0.041221727	0.041367438	0
419502.0	0.04920113	0.048558626	0.07275346	0.07244835	0.072194435	0.07210062	0
425596.0	0.04600282	0.04631591	0.06915073	0.06920321	0.069398515	0.06937072	0
425596.0	0.04600282	0.04631591	0.06915073	0.06920321	0.069398515	0.06937072	0
434516.0	0.02827188	0.028326571	0.043058258	0.04310113	0.043194894	0.043130133	0
442117.0	0.04398	0.044594593	0.064825594	0.065386035	0.06567818	0.06537442	0
442129.0	0.027317794	0.027426852	0.040185265	0.04039378	0.0405058	0.040421404	0
476739.0	0.10423626	0.10527644	0.15336318	0.1534944	0.15400577	0.15424433	0
503388.0	0.042181097	0.042744726	0.059907787	0.05979769	0.060500648	0.06022271	0
503388.0	0.042181097	0.042744726	0.059907787	0.05979769	0.060500648	0.06022271	0
503388.0	0.042181097	0.042744726	0.059907787	0.05979769	0.060500648	0.06022271	0
503388.0	0.042181097	0.042744726	0.059907787	0.05979769	0.060500648	0.06022271	0
503388.0	0.042181097	0.042744726	0.059907787	0.05979769	0.060500648	0.06022271	0
516788.0	0.03239762	0.032146018	0.045091912	0.04504943	0.04489428	0.044957224	0
516788.0	0.03239762	0.032146018	0.045091912	0.04504943	0.04489428	0.044957224	0
517503.0	0.026683588	0.026616445	0.03854195	0.038577985	0.038517907	0.038638018	0
522810.0	0.04358132	0.04351843	0.06465225	0.06523196	0.06454282	0.0649711	0
524513.0	0.02714737	0.027142566	0.038923487	0.03912768	0.039091904	0.039170414	0
524672.0	0.027303204	0.027371742	0.040492665	0.04050857	0.04062176	0.040543903	0
524672.0	0.027303204	0.027371742	0.040492665	0.04050857	0.04062176	0.040543903	0
524672.0	0.027303204	0.027371742	0.040492665	0.04050857	0.04062176	0.040543903	0
526283.0	0.06722685	0.0690277	0.10008515	0.10026048	0.10079849	0.100065574	0
535544.0	0.027404044	0.027540268	0.040419668	0.04065714	0.040783837	0.04068589	0
