	dfr	relevancy
59895.0	0.085849285	0
60652.0	0.13457772	0
61032.0	0.059210613	0
61035.0	0.06434153	0
64544.0	0.06398033	0
65680.0	0.063898966	0
126248.0	0.05195732	0
126248.0	0.05195732	0
137249.0	0.0568321	2
137249.0	0.0568321	0
137602.0	0.081794426	0
137602.0	0.081794426	0
137602.0	0.081794426	0
137602.0	0.081794426	0
140012.0	0.11670074	0
149403.0	0.056325447	0
149403.0	0.056325447	0
153436.0	0.07278233	0
153482.0	0.058875334	0
155634.0	0.05250752	2
155634.0	0.05250752	2
165419.0	0.051752932	0
183865.0	0.15397361	0
183865.0	0.15397361	1
194431.0	0.053575546	0
194433.0	0.056628805	0
194433.0	0.056628805	1
194618.0	0.08909506	0
239962.0	0.05052853	0
239964.0	0.060466856	0
270022.0	0.068680026	0
270093.0	0.051847078	0
280706.0	0.057862815	0
324409.0	0.0777068	0
324409.0	0.0777068	0
394335.0	0.05268719	0
416451.0	0.053763635	0
416478.0	0.055667426	0
419502.0	0.050844252	0
419718.0	0.056745566	0
421736.0	0.092358805	0
459232.0	0.060238156	0
503394.0	0.07969866	0
509285.0	0.062126603	0
516788.0	0.054162122	0
516788.0	0.054162122	0
524513.0	0.05769037	0
529263.0	0.067430004	0
529263.0	0.067430004	0
529263.0	0.067430004	0
535544.0	0.0580163	0
535548.0	0.07395305	0
535548.0	0.07395305	0
544952.0	0.058361012	0
547901.0	0.059098247	0
549194.0	0.064754136	0
549194.0	0.064754136	0
549588.0	0.05976603	0
555568.0	0.062520914	0
555568.0	0.062520914	0
1065004.0	0.05216766	1
1065004.0	0.05216766	0
1065004.0	0.05216766	0
1065094.0	0.059146076	0
1065094.0	0.059146076	0
1065094.0	0.059146076	0
1065094.0	0.059146076	1
1065094.0	0.059146076	0
1065094.0	0.059146076	0
1079905.0	0.058086846	0
1079905.0	0.058086846	0
1087851.0	0.074428774	0
1097749.0	0.0619216	1
1097749.0	0.0619216	0
1112589.0	0.08773276	0
1112595.0	0.1279161	0
1112595.0	0.1279161	1
1112595.0	0.1279161	0
1112595.0	0.1279161	0
1112595.0	0.1279161	0
1112595.0	0.1279161	0
1139167.0	0.05478254	0
1140938.0	0.07175078	2
1142208.0	0.055674434	0
1142319.0	0.057765435	0
1145137.0	0.11038277	0
1151650.0	0.18996835	0
1151653.0	0.067119606	0
1151653.0	0.067119606	2
1151653.0	0.067119606	0
1156894.0	0.06104011	0
1156894.0	0.06104011	0
1156894.0	0.06104011	0
1156907.0	0.051040545	0
1156916.0	0.062083825	0
1164415.0	0.0952109	0
1164436.0	0.05671925	0
1166581.0	0.054537717	0
1175909.0	0.06159989	0
1175909.0	0.06159989	2
1177975.0	0.05481122	0
1180830.0	0.11288867	0
1180830.0	0.11288867	0
1181818.0	0.09488105	0
1181818.0	0.09488105	0
1183201.0	0.06520941	0
1184083.0	0.07035089	0
1184083.0	0.07035089	0
1185557.0	0.09275994	0
1185557.0	0.09275994	0
1193543.0	0.11653275	0
1193543.0	0.11653275	0
1198244.0	0.061113838	0
1208905.0	0.06526249	0
1208953.0	0.06375496	0
1236920.0	0.059012752	0
1236944.0	0.10575849	2
