	dfr	relevancy
28986.0	0.07390852	0
29056.0	0.05781683	0
35282.0	0.068628885	2
56591.0	0.062875986	0
60654.0	0.10821144	0
61032.0	0.057966143	0
64544.0	0.055998407	0
64801.0	0.07598919	0
111183.0	0.06536749	0
111192.0	0.06781361	0
113745.0	0.09969623	0
115203.0	0.09831942	0
116587.0	0.06438452	0
125313.0	0.08163336	0
130966.0	0.057745427	2
130966.0	0.057745427	1
137228.0	0.08791597	1
137228.0	0.08791597	0
137240.0	0.06818365	2
137249.0	0.061136838	2
137249.0	0.061136838	0
137602.0	0.064714365	0
137602.0	0.064714365	0
137602.0	0.064714365	0
137602.0	0.064714365	0
137603.0	0.050402146	0
140013.0	0.055854708	0
155650.0	0.05431257	0
156624.0	0.05184892	0
165419.0	0.05469946	0
165606.0	0.054884717	0
183865.0	0.06554709	0
183865.0	0.06554709	1
194618.0	0.05417059	0
239964.0	0.09317523	0
261880.0	0.064708725	0
270697.0	0.1444521	0
270697.0	0.1444521	0
270697.0	0.1444521	0
280706.0	0.09512441	0
317321.0	0.13120848	0
317469.0	0.05334273	1
343279.0	0.070127964	0
394335.0	0.052292142	0
416478.0	0.05449874	0
420020.0	0.062879145	0
420258.0	0.08125718	0
420464.0	0.08682496	0
421736.0	0.050402675	0
425596.0	0.10072377	0
425596.0	0.10072377	0
503388.0	0.06716452	0
503388.0	0.06716452	0
503388.0	0.06716452	0
503388.0	0.06716452	0
503388.0	0.06716452	0
509285.0	0.059067193	0
515303.0	0.053849455	0
516788.0	0.06644517	0
516788.0	0.06644517	0
522843.0	0.073385745	0
528884.0	0.11530006	0
535544.0	0.096107416	0
535548.0	0.05380231	0
535548.0	0.05380231	0
535567.0	0.07511103	0
535933.0	0.06096629	0
544880.0	0.05479105	0
544880.0	0.05479105	0
545936.0	0.09796735	0
549072.0	0.051154517	0
549073.0	0.09374342	0
549073.0	0.09374342	0
555568.0	0.06251948	0
555568.0	0.06251948	0
555570.0	0.07684148	0
1065024.0	0.05407635	0
1065025.0	0.10556884	0
1065094.0	0.070799075	0
1065094.0	0.070799075	0
1065094.0	0.070799075	0
1065094.0	0.070799075	1
1065094.0	0.070799075	0
1065094.0	0.070799075	0
1065101.0	0.07331899	0
1065101.0	0.07331899	0
1065114.0	0.06892515	0
1079964.0	0.056906316	0
1082912.0	0.056955405	0
1082912.0	0.056955405	0
1087842.0	0.06746984	0
1087854.0	0.05948373	0
1087888.0	0.1361335	0
1090580.0	0.07775752	0
1090580.0	0.07775752	0
1112595.0	0.17428946	0
1112595.0	0.17428946	1
1112595.0	0.17428946	0
1112595.0	0.17428946	0
1112595.0	0.17428946	0
1112595.0	0.17428946	0
1112600.0	0.08690278	0
1156894.0	0.07709082	0
1156894.0	0.07709082	0
1156894.0	0.07709082	0
1156954.0	0.13249764	0
1156954.0	0.13249764	0
1164413.0	0.052193426	0
1164415.0	0.05684536	0
1164436.0	0.052818876	0
1168906.0	0.053238202	2
1173139.0	0.08391517	0
1175057.0	0.05655921	0
1175902.0	0.12332422	0
1175916.0	0.09558027	1
1175924.0	0.060740504	1
1177931.0	0.074122265	0
