pmcid relevancy tfidf bm25 ib lmd lmj dfr
1968787 1 0.0032426852 0.0032426852 0.0047695423 0.0047932984 0.0047695423 0.0
1971490 1 0.095676735 0.095676735 0.13979985 0.13932252 0.13930717 0.0
2001323 1 0.0032890178 0.0032890178 0.004780501 0.004790082 0.0048044706 0.0
2009435 1 0.012897825 0.012897825 0.018769026 0.018797059 0.018839922 0.0
201022 2 0.19621228 0.19621228 0.27601713 0.27601713 0.27601713 0.0
2011516 1 0.006923547 0.006903193 0.0101563735 0.010159957 0.0101563735 0.0
2025113 1 0.012571365 0.012538473 0.018444646 0.018451154 0.018444646 0.0
2233876 2 0.15655376 0.15655376 0.23030095 0.23028733 0.23030095 0.0
2373300 1 0.11183119 0.11183119 0.164443 0.16441444 0.164443 0.0
2610653 1 0.18229882 0.18229882 0.25880143 0.2581317 0.2581317 0.0
2627214 1 0.10521966 0.10521966 0.15477148 0.15468538 0.15477148 0.0
2687457 1 0.1073998 0.1073998 0.15684086 0.1567275 0.15675798 0.0
2730627 1 0.18669361 0.18669361 0.26388162 0.26322985 0.26322985 0.0
2766874 1 0.16635968 0.16635968 0.2378124 0.23713504 0.23713504 0.0
2766900 1 0.2728713 0.2728713 0.3921362 0.3921362 0.3921362 0.0
2878712 1 0.22392537 0.22392537 0.32171696 0.32171696 0.32171696 0.0
2892667 1 0.20132187 0.20132187 0.29224822 0.29125673 0.29125673 0.0
2892773 2 0.13500632 0.13500632 0.19857904 0.1984222 0.19857904 0.0
2936317 1 0.24581295 0.24581295 0.36144346 0.3617002 0.36144346 0.0
3082113 1 0.060019765 0.060019765 0.08896065 0.088696435 0.088696435 0.0
3101722 2 0.14082421 0.14082421 0.20715696 0.20715696 0.20715696 0.0
3127816 1 0.0885883 0.0885883 0.1241357 0.12433927 0.1241357 0.0
3389846 2 0.15576333 0.15576333 0.229182 0.22919524 0.229182 0.0
3403798 1 0.124639444 0.124639444 0.18347088 0.18347088 0.18347088 0.0
3430489 1 0.13812582 0.13812582 0.19244678 0.19227865 0.19227424 0.0
3460172 1 0.10512633 0.10512633 0.15471855 0.15482453 0.15471855 0.0
3484289 1 0.11254618 0.11254618 0.16425155 0.16404149 0.16414557 0.0
3505349 1 0.08378273 0.08372605 0.1229462 0.122671224 0.1229462 0.0
3507065 1 0.18539959 0.18539959 0.2640969 0.26335755 0.26335755 0.0
3519030 1 0.19726926 0.1971598 0.27922404 0.27928206 0.27922404 0.0
3522332 1 0.13573825 0.13573825 0.19799168 0.19771108 0.19790068 0.0
3528766 1 0.12877445 0.12877445 0.18932688 0.1894404 0.18932688 0.0
3583529 1 0.06475835 0.06475835 0.094421126 0.09447364 0.09456623 0.0
3590355 1 0.0981383 0.0981383 0.14435267 0.14435267 0.14435267 0.0
3616260 1 0.14106606 0.14106606 0.19926526 0.1987957 0.1987957 0.0
3635626 1 0.116562955 0.116562955 0.1642322 0.16388848 0.16388848 0.0
3644826 1 0.13231228 0.13231228 0.18553813 0.18509091 0.18521646 0.0
3656556 1 0.19866277 0.19866277 0.29186007 0.29186007 0.29186007 0.0
3696066 1 0.07330198 0.07326137 0.1077556 0.10778919 0.1077556 0.0
3702496 1 0.07185084 0.07185084 0.10489487 0.10481873 0.10486013 0.0
3742834 1 0.06969872 0.06969872 0.101669215 0.101678625 0.1017523 0.0
3756169 1 0.11532997 0.11532997 0.16130866 0.16136247 0.16142271 0.0
3767023 1 0.09571697 0.09571697 0.14085229 0.14084856 0.14085229 0.0
3786726 1 0.1095437 0.1095437 0.1557343 0.1557343 0.1557343 0.0
3789934 1 0.10307155 0.10307155 0.15163036 0.15163036 0.15163036 0.0
3833933 1 0.09596785 0.09596785 0.13757342 0.13757342 0.13757342 0.0
3879007 1 0.18240742 0.18240742 0.2622207 0.2622207 0.2622207 0.0
3892522 1 0.1471938 0.1471938 0.21651864 0.21650985 0.21651864 0.0
