pmcid	title	abstract	body	relevancy
2994179	3.6905446	0.09503502	1.7879676	0
3006379	3.6794326	2.2677948	1.5754976	0
3197540	3.4747689	1.8644167	1.6823806	0
3828058	3.4415119	2.8304775	1.9723254	0
3110305	3.4371028	2.9140239	1.6191461	0
3070451	3.0065904	1.8067675	1.3508694	0
3229065	3.0058467	0.030166935	1.5085262	0
2225419	2.9590514	0.030139519	0.0	0
3052291	2.891532	0.06222887	1.6288198	0
2919999	2.6469743	2.2199726	1.3686244	0
3141698	2.6110358	1.9138539	1.4640988	0
3284562	2.5984175	1.5001655	1.1591448	0
3337595	2.5945122	2.0901763	1.4240925	0
2984466	2.5147877	1.0095752	1.1356373	0
3423035	2.5073	1.5075439	1.1276528	0
3170811	2.5070148	1.5903128	1.3483326	0
3470993	2.3987956	1.3714678	1.3459032	0
3259091	2.2299852	0.0892869	0.090347625	0
3329063	2.2070384	0.0	0.9691256	0
3041761	2.1532555	1.307695	1.317794	0
3543180	2.1420693	1.0116453	0.9738234	0
3095552	2.1354818	1.2886184	0.9543976	0
3087320	2.0854092	1.3548486	0.9922313	0
3573803	1.9670548	1.3858533	0.9417016	0
3410770	1.9667737	1.1687473	1.0103139	0
3325862	1.8326312	1.0487658	1.0114124	0
3541771	0.17771295	0.18629745	0.18863368	0
3884599	0.16658106	0.17462781	1.939742	0
3092083	0.16484845	0.17208305	0.1744843	0
3667316	0.16309866	0.17176284	1.6805786	1
3773376	0.162705	0.17048985	0.17264064	0
3676979	0.1522898	0.15957633	0.16158943	0
3175412	0.15001449	1.9665449	1.512898	0
2890701	0.14915329	2.2181964	2.0112581	0
3249329	0.14739262	0.15386115	1.9939631	0
2823760	0.14630443	0.15407647	1.6398798	1
3420757	0.14590342	0.15365416	2.1327577	0
3483580	0.1435507	0.14985064	0.15194166	0
3420220	0.1419758	0.14876883	0.1506456	0
3843328	0.14167224	0.14788972	0.14995338	0
3579530	0.14001536	0.14745331	0.14930807	0
2614954	0.13816349	0.14477412	0.14660048	0
3541572	0.13754112	0.14484763	0.14666963	0
2840894	0.13667129	0.14368126	0.14538817	2
3498726	0.1365456	0.14354913	0.14525448	0
2800872	0.13571453	0.14167055	0.14364743	0
3521399	0.13468686	0.14159504	0.14327717	0
3467924	0.13395509	0.14036438	0.1421351	0
3703866	0.13350305	0.1398907	0.14165546	0
3692179	0.13128217	0.13704367	0.13895598	0
3446152	0.13032389	0.137247	0.13897339	0
2784587	0.12941867	0.1362937	0.13800809	0
3760368	0.12931144	0.13498646	0.13687007	0
3341745	0.12922285	0.13489398	0.13677631	0
3539114	0.12899777	0.13561417	0.13722526	0
3339128	0.12890431	0.13507193	0.1367759	0
2588583	0.12829304	2.2654128	1.6372871	0
2820011	0.1282824	0.13447914	0.13616554	0
3229082	0.12523991	0.13166356	1.6333897	0
3187738	0.12479383	0.13027059	1.3074243	0
2467397	0.12453066	0.13114601	0.13279568	0
3827536	0.12290528	0.12829915	0.13008943	0
3505429	0.12236381	0.12827463	0.12988326	0
3846194	0.12066364	0.12595914	0.12771678	0
3481881	0.11883902	0.12515204	0.12672628	0
3806709	0.11865674	2.259413	1.7484758	0
3728612	0.118320055	0.12398126	0.12554531	0
3183723	0.118189245	0.124467745	0.1260334	0
3391846	0.11801797	2.2542534	1.7030029	0
3667319	0.11560436	0.121533796	0.12297761	0
3177381	0.115588054	0.121171586	0.12269112	0
2827094	0.1152867	0.12119983	0.12263968	0
3504288	0.11253819	0.117922746	2.081234	0
3742896	0.111601606	0.117530145	0.119008526	0
2800864	0.11121762	0.117125764	0.11859906	2
2988890	0.10974579	0.115047105	0.116489835	0
3335457	0.10968354	0.11449717	0.11609487	0
3502223	0.10943575	0.11472209	1.8951794	0
3716997	0.10926195	0.1150662	0.116513595	0
3380110	0.107781306	0.1135069	0.114934675	0
3514192	0.10747843	1.8136369	1.4165331	0
3727118	0.106199116	0.111646146	0.11297249	0
3634204	0.106169574	0.111298144	0.11269386	0
3866678	0.10597992	0.11063101	0.11217475	0
3707070	0.10579054	0.11090078	0.112291515	0
3119938	0.10540442	0.110030234	0.111565605	0
2890892	0.104872525	0.10947501	1.7418022	0
3200093	0.10307593	0.108055055	0.10941009	0
3064649	0.10276002	2.1910036	1.660168	0
3324958	0.10257909	0.107487135	0.10884311	0
3220071	0.102207795	0.10669333	0.10818213	0
3414006	0.10135284	0.106551304	0.10781711	0
3407711	0.10124234	0.10608644	0.10742475	0
3424656	0.10115546	2.403748	1.5894301	0
3302919	0.100850426	0.10572204	1.6670104	0
3650951	0.10032811	2.3088343	1.464296	0
3078236	0.100193076	0.105032936	0.10635009	0
3770028	0.10011773	0.105252825	0.10650322	0
3329706	0.099854484	0.10463216	0.10595213	0
3846209	0.09969055	0.10480374	0.10604881	0
3424948	0.09935717	0.10411107	0.10542446	0
3649173	0.09923803	0.10398622	0.105298035	0
3665244	0.099107385	0.10384932	1.9208747	0
3220153	0.098978676	0.10332249	0.10476426	0
3513812	0.09875732	0.10400353	0.105311766	0
1180430	0.09866695	0.10372765	0.10495993	0
3747615	0.09817325	0.10291555	1.663695	0
3459714	0.09735106	1.5578498	1.4606197	0
3371526	0.09729826	2.5759826	1.9321036	0
3876007	0.09728723	0.10155682	0.10297395	0
2740314	0.097167335	0.10143166	0.10284704	0
3434906	0.096610874	0.10085079	0.10225806	0
3420772	0.09624796	0.100471936	0.10187393	0
