	tfidf	bm25	ib	lmd	lmj	dfr	relevancy
17815.0	0.053997803	0.053979192	0.07660639	0.07669641	0.07654883	0.076648995	0
56591.0	0.034360427	0.034374703	0.048728235	0.048805304	0.048801187	0.048895024	0
59521.0	0.030611772	0.030607495	0.043472786	0.043738604	0.04354105	0.043674394	0
60654.0	0.031786337	0.031941306	0.044781435	0.04484268	0.044964556	0.044903167	0
64801.0	0.03769686	0.037831046	0.052903425	0.053142168	0.053300682	0.053128053	0
88995.0	0.036992315	0.0374	0.051306166	0.05174252	0.05168224	0.052068114	0
101408.0	0.03431269	0.034356687	0.048891257	0.04907487	0.048864793	0.049013752	1
101408.0	0.03431269	0.034356687	0.048891257	0.04907487	0.048864793	0.049013752	0
101408.0	0.03431269	0.034356687	0.048891257	0.04907487	0.048864793	0.049013752	2
111192.0	0.069798104	0.06975476	0.09921432	0.099578455	0.09917358	0.09910546	0
111193.0	0.038915027	0.03925255	0.055225953	0.05531131	0.05562769	0.05560693	0
113745.0	0.049361415	0.049891192	0.070248336	0.07028861	0.07084073	0.07062176	0
126248.0	0.047059495	0.047373105	0.066711776	0.06673803	0.06717909	0.06703889	0
126248.0	0.047059495	0.047373105	0.066711776	0.06673803	0.06717909	0.06703889	0
128942.0	0.049811434	0.05014347	0.06978747	0.070207395	0.070403725	0.07017714	0
128942.0	0.049811434	0.05014347	0.06978747	0.070207395	0.070403725	0.07017714	0
137602.0	0.05681995	0.057952415	0.07918429	0.07976523	0.080429405	0.079855	0
137602.0	0.05681995	0.057952415	0.07918429	0.07976523	0.080429405	0.079855	0
137602.0	0.05681995	0.057952415	0.07918429	0.07976523	0.080429405	0.079855	0
137602.0	0.05681995	0.057952415	0.07918429	0.07976523	0.080429405	0.079855	0
140039.0	0.033493176	0.033669073	0.04748956	0.04769343	0.047849357	0.047761217	0
140039.0	0.033493176	0.033669073	0.04748956	0.04769343	0.047849357	0.047761217	0
149366.0	0.099526614	0.1004053	0.13728598	0.13863318	0.13811752	0.13998634	0
149378.0	0.0568212	0.057412002	0.07933028	0.079951614	0.0801542	0.079960704	0
150573.0	0.03142276	0.031207485	0.044439152	0.044428565	0.04407401	0.044206385	0
153436.0	0.033704616	0.03406091	0.04794553	0.04792206	0.04837787	0.04814099	0
153482.0	0.03451711	0.034705102	0.048219923	0.04854985	0.0487554	0.048519414	0
156662.0	0.030806843	0.030794552	0.04375379	0.043968566	0.04377311	0.04393559	0
193681.0	0.030558787	0.030440915	0.04327099	0.0431257	0.042921398	0.043064225	0
212447.0	0.03421524	0.034201533	0.048440266	0.048568018	0.04849828	0.04861116	0
239964.0	0.039298795	0.03970692	0.05591399	0.055789508	0.0564495	0.056095093	0
270015.0	0.058477353	0.058423046	0.08298599	0.08336703	0.08309141	0.08311663	0
270093.0	0.05175682	0.05131642	0.07315424	0.07317508	0.072430946	0.07269051	0
270697.0	0.030028684	0.030014178	0.04254329	0.042762246	0.04263284	0.042668484	0
270697.0	0.030028684	0.030014178	0.04254329	0.042762246	0.04263284	0.042668484	0
270697.0	0.030028684	0.030014178	0.04254329	0.042762246	0.04263284	0.042668484	0
317342.0	0.037214275	0.037483227	0.05280582	0.052814018	0.053188305	0.053084347	0
317472.0	0.05526342	0.054199398	0.07798916	0.07748934	0.07707617	0.07669638	0
