pmcid relevancy tfidf bm25 ib lmd lmj dfr
2667400 2 0.29864433 0.29864433 0.431959 0.4300507 0.431959 0.0
2687574 1 0.32404053 0.32404053 0.46795216 0.46795216 0.46795216 0.0
2691519 1 0.24770547 0.24770547 0.3578967 0.35844782 0.35844782 0.0
2740058 1 0.26394913 0.26394913 0.3805892 0.38029596 0.3802681 0.0
2740158 1 0.37694177 0.37682006 0.53685564 0.5372807 0.53685564 0.0
2749011 1 0.0 0.0 0.0 0.0 0.0 0.0
2768636 1 0.11467701 0.11461693 0.1646977 0.16498241 0.1646977 0.0
2842962 1 0.1568094 0.1568094 0.22592093 0.22562698 0.22598767 0.0
2893371 1 0.2687441 0.2687441 0.386504 0.3858449 0.38656315 0.0
2933643 1 0.15836279 0.15836279 0.22770287 0.22770287 0.22770287 0.0
3004514 1 0.40623587 0.40623587 0.58721864 0.58472407 0.58721864 0.0
3030049 1 0.30931634 0.30931634 0.4444363 0.44342366 0.444454 0.0
3047858 2 0.44078848 0.4405361 0.63090724 0.6311193 0.63090724 0.0
3101789 1 0.27514014 0.27514014 0.39660582 0.39660582 0.39660582 0.0
3290188 2 0.29198945 0.29198945 0.42261288 0.42261288 0.42261288 0.0
3420662 1 0.23597401 0.23588192 0.33857098 0.3374249 0.33857098 0.0
3423657 1 0.32112196 0.32112196 0.46294466 0.46294466 0.46294466 0.0
3466839 1 0.3074673 0.3074673 0.44355416 0.44201976 0.44355416 0.0
3483501 2 0.33265853 0.33265853 0.48076653 0.48033595 0.48033595 0.0
3514812 1 0.34883013 0.34883013 0.5011399 0.5011399 0.5011399 0.0
3601223 1 0.22352058 0.22352058 0.32242694 0.32228884 0.32228884 0.0
3637401 1 0.20019688 0.20019688 0.28727326 0.2876568 0.2876568 0.0
3649654 2 0.28191298 0.2817486 0.4029825 0.40316787 0.4029825 0.0
3670530 2 0.46646532 0.46646532 0.6699397 0.6690261 0.67123574 0.0
3674744 2 0.34763634 0.34763634 0.50120306 0.5007929 0.5007929 0.0
3741700 1 0.2119182 0.2119182 0.30500093 0.3045508 0.30500093 0.0
3860639 1 0.28913426 0.28913426 0.4180364 0.4182776 0.4182776 0.0
3860641 1 0.16325717 0.16325717 0.23603037 0.23608688 0.23608688 0.0
3872241 1 0.19544084 0.19544084 0.28071147 0.28071147 0.28071147 0.0
