abstract	body	pmcid	relevancy	title
0.06805442	5.486807	1712359.0	0.0	6.875569
4.401555	3.5463498	3835276.0	0.0	6.4085064
4.881042	4.3684196	2929215.0	0.0	6.1015296
5.0420365	5.4793015	3517569.0	0.0	5.894691
3.9577281	3.3656578	3658254.0	0.0	5.8439155
0.10346682	3.7571537	3114433.0	0.0	5.077804
3.1352382	2.346455	3665179.0	0.0	4.6693163
2.7146926	0.04380038	2956246.0	0.0	3.355223
0.039309047	1.8914227	3099090.0	0.0	3.0329444
0.3938747	3.9192634	3834987.0	0.0	0.3938747
0.38329875	3.2866137	2892615.0	0.0	0.38329875
0.34669462	0.34669462	1915650.0	0.0	0.34669462
0.3434556	4.1279693	3833481.0	0.0	0.3434556
0.33234957	0.33234957	3614649.0	2.0	0.33234957
0.32965326	4.122455	3656631.0	0.0	0.32965326
0.3165737	0.3165737	3280186.0	0.0	0.3165737
0.3145811	4.223267	3320390.0	2.0	0.3145811
0.31240517	0.31240517	3490473.0	0.0	0.31240517
0.30587435	0.30587435	3423911.0	0.0	0.30587435
0.30292788	0.30292788	3403064.0	0.0	0.30292788
4.8124795	0.30264258	3764358.0	0.0	0.30264258
0.30212012	4.230199	2611962.0	0.0	0.30212012
0.30157652	0.30157652	2868875.0	0.0	0.30157652
0.30001685	3.8765712	3894143.0	0.0	0.30001685
0.29662982	0.29662982	3172973.0	0.0	0.29662982
0.29250595	0.29250595	3858699.0	0.0	0.29250595
0.28928086	0.28928086	3820174.0	0.0	0.28928086
0.2856778	0.2856778	3420609.0	0.0	0.2856778
0.28274527	0.28274527	2751738.0	0.0	0.28274527
0.2805946	0.2805946	3264568.0	0.0	0.2805946
0.20794478	0.20794478	2710506.0	1.0	0.20794478
0.18287778	0.18287778	1282576.0	2.0	0.18287778
0.18132678	0.18132678	3347913.0	2.0	0.18132678
0.1743294	0.1743294	3519073.0	2.0	0.1743294
0.16931571	0.16931571	2656546.0	2.0	0.16931571
0.16634247	0.16634247	2797745.0	2.0	0.16634247
0.1599039	3.7978811	3642086.0	2.0	0.1599039
0.14438368	0.14438368	2781142.0	2.0	0.14438368
0.10361618	0.10361618	3424805.0	2.0	0.10361618
0.10187389	0.10187389	2874428.0	2.0	0.10187389
0.08051501	0.08051501	1310615.0	1.0	0.08051501
0.07409904	0.07409904	3410211.0	2.0	0.07409904
0.07043065	0.07043065	3283561.0	2.0	0.07043065
0.06874981	0.06874981	3135331.0	1.0	0.06874981
0.06609403	0.06609403	3374424.0	2.0	0.06609403
0.059929885	0.059929885	2731168.0	1.0	0.059929885
0.057813298	0.057813298	2268742.0	2.0	0.057813298
0.05485363	0.05485363	2742899.0	1.0	0.05485363
0.054170426	0.054170426	2958551.0	1.0	0.054170426
0.053968307	0.053968307	1184074.0	1.0	0.053968307
0.052570004	2.089514	2803182.0	1.0	0.052570004
0.04894635	0.04894635	3071360.0	1.0	0.04894635
0.046116374	1.8438148	1431525.0	1.0	0.046116374
0.035676073	0.035676073	3367620.0	1.0	0.035676073
0.03191873	0.03191873	2732448.0	1.0	0.03191873
0.030773904	0.030773904	3294322.0	2.0	0.030773904
