	tfidf	bm25	ib	lmd	lmj	dfr	relevancy
29048.0	0.05256642	0.052719705	0.078275315	0.07931919	0.07813543	0.07844766	0
29048.0	0.05256642	0.052719705	0.078275315	0.07931919	0.07813543	0.07844766	2
59895.0	0.1491872	0.15138681	0.21883969	0.22051336	0.22049348	0.22094098	0
61035.0	0.073436804	0.074527584	0.10713057	0.10827045	0.10850723	0.1084836	0
64494.0	0.05711031	0.057753664	0.08500009	0.0853491	0.08605759	0.08535265	0
65528.0	0.055742342	0.055805106	0.083329566	0.08383097	0.08322952	0.083340526	0
65680.0	0.04386062	0.044147655	0.06343687	0.06343342	0.063618265	0.0636739	0
88995.0	0.040800516	0.041301094	0.0596325	0.060157597	0.060250632	0.060307223	0
101408.0	0.04173971	0.04179343	0.0610623	0.06149917	0.061090305	0.061261855	1
101408.0	0.04173971	0.04179343	0.0610623	0.06149917	0.061090305	0.061261855	0
101408.0	0.04173971	0.04179343	0.0610623	0.06149917	0.061090305	0.061261855	2
111192.0	0.052216712	0.052274097	0.075900525	0.07670556	0.075921185	0.076108724	0
115203.0	0.04895539	0.04926361	0.07051495	0.0708658	0.07149798	0.07085256	0
116587.0	0.060109537	0.05896129	0.08895161	0.08868316	0.0868017	0.08661992	0
117226.0	0.046807017	0.04721656	0.069262974	0.0690418	0.06943671	0.06938792	0
122079.0	0.041966323	0.042128537	0.06253661	0.06355214	0.06246396	0.06279434	2
128809.0	0.050706908	0.04969719	0.075082056	0.074738264	0.073059015	0.073064856	0
137602.0	0.04915635	0.04976613	0.0720911	0.07250007	0.07271492	0.072828546	0
137602.0	0.04915635	0.04976613	0.0720911	0.07250007	0.07271492	0.072828546	0
137602.0	0.04915635	0.04976613	0.0720911	0.07250007	0.07271492	0.072828546	0
137602.0	0.04915635	0.04976613	0.0720911	0.07250007	0.07271492	0.072828546	0
138799.0	0.03661183	0.03679727	0.05333791	0.053363986	0.053487245	0.05349994	0
140013.0	0.04410408	0.044202313	0.064001605	0.06414105	0.06406989	0.0641773	0
140039.0	0.11111915	0.112021156	0.16411942	0.16355123	0.16590303	0.1645093	0
140039.0	0.11111915	0.112021156	0.16411942	0.16355123	0.16590303	0.1645093	0
149378.0	0.045314122	0.0457462	0.063429505	0.06389028	0.06395703	0.06406083	0
151666.0	0.036948267	0.037201926	0.054598883	0.054634027	0.05490125	0.054867815	2
152645.0	0.05592658	0.056692224	0.08297879	0.08237614	0.08326154	0.08304195	0
153522.0	0.044819914	0.04417589	0.06627488	0.06614969	0.06518599	0.06513045	2
155642.0	0.07379392	0.07430885	0.10665344	0.10703752	0.10685535	0.10702343	0
156624.0	0.20577556	0.20515953	0.3073346	0.30964515	0.30716863	0.30881688	0
156660.0	0.06250909	0.061286315	0.09251165	0.09222296	0.09024955	0.09004279	0
156660.0	0.06250909	0.061286315	0.09251165	0.09222296	0.09024955	0.09004279	0
165046.0	0.04167494	0.041430652	0.0595116	0.059347272	0.059214145	0.059240263	0
194660.0	0.049456194	0.048692983	0.07227177	0.071747914	0.07067929	0.07147228	0
239862.0	0.081031114	0.082535446	0.11896508	0.11956835	0.120047115	0.12004332	0
305332.0	0.052742906	0.0534738	0.077927776	0.077511445	0.07823491	0.07821484	0
305338.0	0.08166754	0.080386594	0.120969675	0.12008054	0.11806583	0.11897866	0
317472.0	0.037528556	0.037329845	0.05558308	0.055440616	0.055217177	0.05530939	0
324410.0	0.04296475	0.04224044	0.062507816	0.06227302	0.0611201	0.061359145	0
343284.0	0.04035235	0.04066597	0.057025936	0.057350893	0.05815466	0.057375096	0
343284.0	0.04035235	0.04066597	0.057025936	0.057350893	0.05815466	0.057375096	0
356919.0	0.053157095	0.053946383	0.07840403	0.07863872	0.079160616	0.07862798	0
356919.0	0.053157095	0.053946383	0.07840403	0.07863872	0.079160616	0.07862798	0
416478.0	0.03912076	0.03950022	0.058087565	0.058419682	0.0593525	0.05852695	0
419368.0	0.04094371	0.04119191	0.05807232	0.05865901	0.058649555	0.05874428	0
419718.0	0.04316555	0.043532714	0.0632675	0.06341626	0.06371071	0.063453645	0
421736.0	0.04350362	0.043927137	0.06408285	0.06428821	0.064577065	0.064493224	0
425596.0	0.055300027	0.055296727	0.07954773	0.07969494	0.07972021	0.07987239	0
425596.0	0.055300027	0.055296727	0.07954773	0.07969494	0.07972021	0.07987239	0
436065.0	0.048914958	0.049339052	0.07264959	0.07295825	0.07351392	0.07302234	0
459232.0	0.16790925	0.16907543	0.24820134	0.24912748	0.24850185	0.24921036	0
503388.0	0.040746864	0.04108917	0.058537673	0.058678832	0.059255667	0.058693644	0
503388.0	0.040746864	0.04108917	0.058537673	0.058678832	0.059255667	0.058693644	0
503388.0	0.040746864	0.04108917	0.058537673	0.058678832	0.059255667	0.058693644	0
