pmcid relevancy abstract body title
1459264 1 0.11553005 0.06858924 0.07112695
1459268 1 0.15228295 0.07730454 0.08012655
1523371 1 0.0 0.0 0.0
153522 2 0.13799366 0.063514724 0.4692634
1570451 2 0.14675725 0.08388868 0.08695105
1586188 1 0.21031621 0.11541152 0.119656496
1636036 1 0.16979593 0.105782926 0.10961313
1687187 2 0.0 0.0 0.0
1751015 1 0.15282296 0.07790359 0.08076899
1805426 1 0.16139019 0.098166995 0.42341697
1891108 1 0.13359623 0.08501369 0.08822851
1936994 2 0.22580922 0.14881042 0.6745068
1976317 1 0.119134456 0.055219725 0.057219137
2116997 2 0.14644924 0.080415525 0.08337331
2202780 2 0.15844932 0.091802 0.09519857
2222677 1 0.0 0.0 0.0
2245957 1 0.3482454 0.22832406 0.8507753
2254639 2 0.31238446 0.19933334 0.20666507
2258295 2 0.23562019 0.14708248 0.15252435
2266718 1 0.25439823 0.15288891 0.15847012
2311282 2 0.16500153 0.10413779 0.67197853
2423870 2 0.10552129 0.050604373 0.05245169
2448938 1 0.00048466676 0.00046671066 0.0004843595
2536181 1 0.30434135 0.18908836 0.19593489
2546374 2 0.18881416 0.08399845 0.6165764
2553050 2 0.22873887 0.14576927 0.7464442
2584009 1 0.18676174 0.10216385 0.6051601
2588821 1 0.012353886 0.011909999 0.012344775
2628097 2 0.40828627 0.29424822 0.9407818
2637899 2 0.26337135 0.15949464 0.165317
2656964 2 0.17876585 0.118792735 0.8274078
2656981 1 0.16783065 0.0936735 0.5499226
2667168 2 0.0 0.0 0.0
2700595 1 0.0 0.0 0.0
2702886 1 0.3047124 0.19751398 0.81225574
2726548 1 0.25839165 0.18089421 0.8049207
2740038 1 0.19594075 0.112008005 0.55729675
2740109 1 0.0 0.0 0.0
2749011 1 0.24315429 0.14908521 0.15460119
2769322 2 0.19771415 0.12404882 0.55617344
2805600 1 0.19272418 0.12080625 0.12521629
2822176 2 0.0 0.0 0.0
2823150 2 0.2159057 0.11239332 0.6958505
2829468 1 0.19798158 0.12192734 0.12641197
2835690 2 0.2159992 0.13031207 0.13506912
2846859 1 0.19679685 0.14813203 0.1535805
2869440 1 0.15835004 0.07886039 0.49684247
2884449 2 0.2096987 0.11861981 0.12300861
2892435 1 0.27880853 0.1950792 0.75417703
2902452 2 0.185873 0.1014477 0.105120935
2903521 2 0.16184358 0.09215434 0.095639184
2918628 2 0.17509568 0.0924776 0.48056224
2924549 1 0.2816628 0.16117756 0.16706136
2933699 1 0.10158734 0.045357604 0.04702591
2936927 2 0.19552639 0.11626801 0.5988329
2938506 2 0.16894406 0.10133503 0.49765277
2966580 1 0.27719432 0.15612517 0.16177818
2972610 2 0.14101289 0.081892215 0.084989
2977075 2 0.0 0.0 0.0
2984407 1 0.29367197 0.19006106 0.19705175
3004513 1 0.19785613 0.12408988 0.63506496
3015287 2 0.28084078 0.18592297 0.1926549
3015509 2 0.28371388 0.17543119 0.18178324
3015846 2 0.29378703 0.19945168 0.20699401
3016817 1 0.1650557 0.096545614 0.6594672
3022694 2 0.1546853 0.09328385 0.523306
3043450 2 0.43358898 0.28358436 0.2943082
3047893 1 0.19021271 0.12168294 0.12608887
3075161 1 0.17707789 0.10293793 0.54644156
3088392 2 0.22709347 0.12877767 0.742635
3097568 2 0.2739604 0.1539207 0.7456349
3099062 1 0.17485899 0.09629148 0.5882526
3101356 2 0.13194573 0.063389696 0.4812293
3108289 1 0.29453477 0.15829922 0.16403095
3113185 1 0.20203206 0.117715135 0.5633842
3121590 2 0.25254706 0.16397516 0.1699611
3123199 2 0.2555712 0.15846267 0.6288596
3123852 1 0.28390363 0.1800281 0.18654658
3127318 1 0.19418585 0.10118481 0.6236094
3129103 1 0.17829032 0.08960311 0.09284747
3145093 2 0.2170219 0.110233724 0.114288256
3160360 2 0.14901981 0.072291 0.48774445
3161023 2 0.17993699 0.12340357 0.12787178
3170312 1 0.1890565 0.10153828 0.5583096
3180596 1 0.15901028 0.09073296 0.09404517
3195765 2 0.23850635 0.14434749 0.6399996
3200117 2 0.30759087 0.2080618 0.21559535
3201103 2 0.19932467 0.11212276 0.62035537
3209994 1 0.2781081 0.1830408 0.18996254
3215995 2 0.15009846 0.095476784 0.5622602
3236146 2 0.29984665 0.20500697 0.21259198
3249852 2 0.3512598 0.21146034 0.21923812
3259121 2 0.0 0.0 0.0
3263603 1 0.14799501 0.07181727 0.07441764
3273785 2 0.13365266 0.08074273 0.08379605
3311001 1 0.09374647 0.09034354 0.093686156
3326743 2 0.043206118 0.041605406 0.04317873
