pmcid relevancy abstract body title
101408 1 0.0 0.0 0.0
1084359 1 0.007042709 0.0069431327 0.007042709
1140938 2 0.104269564 0.1026674 0.104269564
1151653 2 0.016721185 0.016484765 0.016721185
1269452 1 0.014593758 0.014375907 0.014593758
1269460 2 0.0063911094 0.0062988205 0.0063911094
1278477 1 0.03256012 0.03207408 0.03256012
1280924 1 0.048122037 0.04738262 0.048122037
1281279 1 0.025655158 0.025284689 0.025655158
1308833 1 0.009109213 0.008977674 0.009109213
1322287 1 0.03149628 0.031041468 0.03149628
1382235 2 0.06452838 0.06356513 0.06452838
1431557 1 0.022124011 0.021804538 0.022124011
1513065 1 0.016642675 0.01638695 0.016642675
1513521 1 0.057993058 0.057155628 0.057993058
1637335 1 0.07106459 0.070023686 0.07106459
1913587 1 0.015156353 0.014923468 0.015156353
2120825 1 0.005342239 0.0052650967 0.005342239
2138688 1 0.0027662376 0.0027262927 0.0027662376
2186939 1 0.0073482567 0.007235347 0.0073482567
2270726 1 0.0020226468 0.0019934394 0.0020226468
2527784 2 0.109814666 0.108127296 0.109814666
2583982 2 0.014750702 0.014534645 0.014750702
2584645 2 0.088913344 0.08754714 0.088913344
2589194 2 0.0048975116 0.0048257764 0.0048975116
2595654 2 0.06198467 0.06103224 0.06198467
2655275 2 0.009385793 0.009241575 0.009385793
2686852 1 0.027097361 0.026680997 0.027097361
2700089 1 0.1310852 0.12912841 0.1310852
2704528 1 0.09514231 0.09376844 0.09514231
2734629 1 0.039168548 0.03859483 0.039168548
2741486 1 0.0625274 0.061624493 0.0625274
2746452 1 0.10298354 0.10152746 0.10298354
2768506 1 0.102251716 0.100725345 0.102251716
2778562 2 0.06902765 0.067997225 0.06902765
2799413 1 0.086375155 0.08515391 0.086375155
2821392 1 0.014361583 0.0141472 0.014361583
2877029 2 0.040839408 0.04026198 0.040839408
2882550 2 0.0074577807 0.007348545 0.0074577807
2915794 1 0.05414185 0.053309932 0.05414185
2951033 1 0.0702345 0.06920575 0.0702345
2989378 1 0.07758452 0.07642637 0.07758452
3010678 2 0.08479159 0.08356719 0.08479159
3018974 2 0.09821352 0.09670442 0.09821352
3031940 1 0.15232576 0.1499852 0.15232576
3034940 1 0.057205506 0.05637945 0.057205506
3041782 2 0.032003254 0.031525522 0.032003254
3075814 2 0.017685536 0.017435482 0.017685536
3079865 2 0.016926931 0.016674252 0.016926931
3095901 2 0.06587656 0.06494514 0.06587656
3104441 1 0.029007263 0.028574254 0.029007263
3108690 1 0.11954284 0.11775836 0.11954284
3109817 2 0.01583733 0.015593981 0.01583733
