	dfr	relevancy
32312.0	0.118475616	0
59895.0	0.041529287	0
61032.0	0.05144356	0
64544.0	0.04955851	0
64801.0	0.110974215	0
101372.0	0.039015014	0
111192.0	0.045161366	0
122079.0	0.038716532	2
125313.0	0.047676504	0
137228.0	0.04739393	1
137228.0	0.04739393	0
137603.0	0.04522225	0
140039.0	0.09677007	0
140039.0	0.09677007	0
151666.0	0.050213296	2
156660.0	0.06136401	0
156660.0	0.06136401	0
166149.0	0.07183083	0
166159.0	0.047483947	0
194433.0	0.06274197	0
194433.0	0.06274197	1
201022.0	0.19535528	2
212447.0	0.08833843	0
239964.0	0.05760227	0
280706.0	0.09174106	0
317469.0	0.08238373	1
416478.0	0.05011254	0
419373.0	0.05029695	0
420248.0	0.039392885	0
420248.0	0.039392885	0
425596.0	0.045505077	0
425596.0	0.045505077	0
436065.0	0.05176507	0
459232.0	0.05443662	0
481071.0	0.0786917	0
509421.0	0.062857844	0
514562.0	0.043328267	0
515303.0	0.045218837	0
516788.0	0.0981327	0
516788.0	0.0981327	0
517503.0	0.043025702	0
524177.0	0.06067039	0
524672.0	0.040719915	0
524672.0	0.040719915	0
524672.0	0.040719915	0
529263.0	0.044493772	0
529263.0	0.044493772	0
529263.0	0.044493772	0
535544.0	0.12912726	0
535548.0	0.074970976	0
535548.0	0.074970976	0
555568.0	0.07616048	0
555568.0	0.07616048	0
1064854.0	0.04596418	0
1065046.0	0.042477176	0
1065101.0	0.067054145	0
1065101.0	0.067054145	0
1079913.0	0.054582592	0
1079925.0	0.12802722	0
1079964.0	0.03937997	0
1082912.0	0.11784042	0
1082912.0	0.11784042	0
1090580.0	0.04248701	0
1090580.0	0.04248701	0
1112590.0	0.03983793	0
1112595.0	0.05478107	0
1112595.0	0.05478107	1
1112595.0	0.05478107	0
1112595.0	0.05478107	0
1112595.0	0.05478107	0
1112595.0	0.05478107	0
1156894.0	0.07992014	0
1156894.0	0.07992014	0
1156894.0	0.07992014	0
1156933.0	0.08382767	0
1164436.0	0.038838863	0
1166581.0	0.09983485	0
1173139.0	0.0836012	0
1174869.0	0.06380406	0
1175057.0	0.045037124	0
1177974.0	0.05090516	0
1180430.0	0.07695958	0
1180430.0	0.07695958	0
1180430.0	0.07695958	0
1180859.0	0.045792498	0
1180860.0	0.05276904	1
1181810.0	0.06819741	0
1181820.0	0.067905456	0
1182398.0	0.05226099	0
1182400.0	0.08097397	2
1183200.0	0.050467547	0
1183200.0	0.050467547	1
1183200.0	0.050467547	0
1184093.0	0.04391047	0
1185557.0	0.041836977	0
1185557.0	0.041836977	0
1187928.0	0.09009387	0
1190165.0	0.09896024	0
1190221.0	0.052652523	0
1193543.0	0.06006634	0
1193543.0	0.06006634	0
1198256.0	0.044599567	0
1198256.0	0.044599567	0
1198256.0	0.044599567	0
1208865.0	0.08688878	0
1208965.0	0.065520905	0
1208965.0	0.065520905	0
1242259.0	0.050340813	0
1252727.0	0.054610193	1
1253520.0	0.042526025	0
1253520.0	0.042526025	0
1257604.0	0.04750073	1
1257651.0	0.043420386	0
1262735.0	0.07029307	0
1276800.0	0.092151046	0
1276800.0	0.092151046	0
1277866.0	0.074964285	0
1277866.0	0.074964285	0
1297611.0	0.046046466	0
1308873.0	0.12205043	0
1310628.0	0.064585574	0
1310932.0	0.05006213	0
1314885.0	0.0925253	0
1325054.0	0.06328075	0
1326214.0	0.05611942	0
1326214.0	0.05611942	0
1326214.0	0.05611942	0
1326214.0	0.05611942	0
1343569.0	0.04331388	0
1343569.0	0.04331388	0
1361803.0	0.04210265	0
1368989.0	0.07763415	0
1368989.0	0.07763415	0
1373626.0	0.047870647	0
1382229.0	0.04274656	0
1386678.0	0.044740945	1
1386707.0	0.052689344	0
1395313.0	0.04922401	0
1395330.0	0.03924646	0
1403776.0	0.09204008	0
1403776.0	0.09204008	0
1414045.0	0.056274988	0
1420313.0	0.14064519	0
1420313.0	0.14064519	0
1420313.0	0.14064519	0
1420325.0	0.1307139	0
1434765.0	0.04871121	0
1434765.0	0.04871121	1
1448691.0	0.07125328	0
1450294.0	0.061907675	0
1457013.0	0.046258613	0
1458354.0	0.13774797	0
1459158.0	0.04382898	0
1459158.0	0.04382898	0
1459175.0	0.08159462	0
1459868.0	0.09489377	2
1459915.0	0.046703406	0
1459932.0	0.05990331	0
1459932.0	0.05990331	0
1459932.0	0.05990331	0
1464140.0	0.04941605	0
1464140.0	0.04941605	0
1464140.0	0.04941605	1
1464140.0	0.04941605	0
1464147.0	0.09255795	0
1464382.0	0.042703163	0
1464382.0	0.042703163	0
1464382.0	0.042703163	0
1464382.0	0.042703163	0
1468401.0	0.08477762	0
1475844.0	0.05695092	0
1475844.0	0.05695092	1
1479417.0	0.049721632	0
1479417.0	0.049721632	0
1483910.0	0.047984194	0
1501004.0	0.05327476	0
1501014.0	0.0515276	0
1513234.0	0.041020934	0
1513523.0	0.041778512	0
1523371.0	0.095478594	0
1523371.0	0.095478594	1
1523371.0	0.095478594	1
1524733.0	0.07012833	0
1526432.0	0.04416304	0
1526710.0	0.043290675	0
1526710.0	0.043290675	0
1544337.0	0.058885463	0
1550411.0	0.087617844	0
1550411.0	0.087617844	0
1553437.0	0.045927364	0
1555585.0	0.072700195	0
1557797.0	0.057470214	0
1557855.0	0.079672486	0
