pmcid relevancy tfidf bm25 ib lmd lmj dfr
1064123 1 0.109740905 0.109740905 0.15539487 0.15539487 0.15539487 0.0
1065004 1 0.021766026 0.02175196 0.030764312 0.030771654 0.030764312 0.0
1097749 1 0.11857775 0.11857775 0.16781743 0.16781743 0.16781743 0.0
1131908 1 0.027631758 0.027631758 0.039092 0.039092 0.039092 0.0
1175911 2 0.0 0.0 0.0 0.0 0.0 0.0
1180854 2 0.06746186 0.06746186 0.09536863 0.09536863 0.09536863 0.0
1201178 1 0.18254443 0.18254443 0.25937375 0.25905573 0.25905573 0.0
1282576 1 0.0 0.0 0.0 0.0 0.0 0.0
137223 1 0.02537946 0.025356513 0.03576816 0.035725474 0.03576816 0.0
1413549 1 0.09429171 0.09432757 0.13193206 0.13276665 0.13193206 0.0
1414021 1 0.041676868 0.041676868 0.059005816 0.058948975 0.059005816 0.0
1414028 1 0.054181658 0.054146748 0.076579735 0.07659909 0.076579735 0.0
1464140 1 0.12285589 0.12285589 0.17317133 0.17317133 0.17317133 0.0
1464381 1 0.033363376 0.033363376 0.047260825 0.047207434 0.047260825 0.0
1469559 1 0.030621039 0.030645635 0.04355102 0.04353989 0.04355102 0.0
1481515 1 0.12965254 0.1296641 0.18366702 0.18362917 0.18366702 0.0
1524788 1 0.12859786 0.12857054 0.18143822 0.18163046 0.18143822 0.0
1533819 1 0.029056778 0.029056778 0.04113901 0.04107221 0.04113901 0.0
1550867 1 0.030801462 0.030801462 0.043597717 0.043597717 0.043597717 0.0
1550946 1 0.05695013 0.05695013 0.08062927 0.0805849 0.08053565 0.0
1568462 1 0.0060820207 0.0060820207 0.008609576 0.008603624 0.008609576 0.0
1602198 1 0.053400446 0.053400446 0.07543552 0.07539897 0.07539897 0.0
1609165 2 0.02753587 0.02753587 0.03899985 0.038946807 0.03899985 0.0
1679810 1 0.039998073 0.039998073 0.05668042 0.056623157 0.05668042 0.0
1750965 1 0.05774381 0.05769613 0.08160526 0.08166204 0.08160526 0.0
1751060 1 0.040124327 0.040124327 0.05670466 0.05670731 0.05670731 0.0
1764004 2 0.0 0.0 0.0 0.0 0.0 0.0
1781075 1 0.056151554 0.056151554 0.079220496 0.079220496 0.079220496 0.0
1781780 1 0.015456088 0.015456088 0.021872986 0.021862818 0.021872986 0.0
1781795 1 0.0 0.0 0.0 0.0 0.0 0.0
1824715 2 0.043082222 0.043072745 0.06094731 0.060931854 0.06094731 0.0
1940263 2 0.050663978 0.050648596 0.0716812 0.07167964 0.0716812 0.0
1987337 2 0.061346695 0.061346695 0.08688149 0.08688149 0.08688149 0.0
1989755 2 0.027756779 0.027756779 0.039301693 0.039265595 0.039265595 0.0
2020460 2 0.073324636 0.073324636 0.102943994 0.10297477 0.10297477 0.0
2045103 2 0.0 0.0 0.0 0.0 0.0 0.0
2206392 1 0.03158523 0.03158523 0.044737875 0.044678632 0.044737875 0.0
2222237 2 0.046122186 0.046122186 0.064965636 0.06504935 0.06504935 0.0
2244628 1 0.14606489 0.14606489 0.2048061 0.20461158 0.20461158 0.0
2359996 1 0.04556752 0.04556752 0.06419356 0.06417487 0.06417487 0.0
2385820 1 0.00064646977 0.00064646977 0.0009146693 0.0009146693 0.0009146693 0.0
2409543 1 0.03602608 0.03602608 0.050951723 0.050951723 0.050951723 0.0
2426673 1 0.075490735 0.075490735 0.10700564 0.10685386 0.10700564 0.0
2567096 1 0.034406688 0.034406688 0.04868104 0.048610296 0.04857959 0.0
2576164 2 0.07853452 0.07853452 0.111152396 0.111152396 0.111152396 0.0
2598878 1 0.00239849 0.00239849 0.0033959735 0.003393844 0.003393844 0.0
2599294 2 0.003157363 0.003157363 0.0044169147 0.0044384664 0.0044384664 0.0
2627179 2 0.065050706 0.065050706 0.09209536 0.092061915 0.0919977 0.0
2629964 2 0.0 0.0 0.0 0.0 0.0 0.0
2647177 1 0.02663824 0.02663824 0.03767513 0.03762844 0.037618883 0.0
2649145 1 0.051633887 0.051633887 0.07275751 0.07282309 0.07282309 0.0
2672442 2 0.0 0.0 0.0 0.0 0.0 0.0
2684304 2 0.04195571 0.04195571 0.05943445 0.05943445 0.05943445 0.0
2695771 2 0.04197384 0.041972063 0.0593892 0.05936567 0.0593892 0.0
2700432 1 0.07628125 0.07628125 0.108035654 0.10805167 0.10797928 0.0
2706800 2 0.11121224 0.11121224 0.15660216 0.15660216 0.15660216 0.0
2737754 2 0.0 0.0 0.0 0.0 0.0 0.0
2767138 2 0.0 0.0 0.0 0.0 0.0 0.0
2769286 2 0.11249213 0.11249213 0.15930797 0.15937366 0.15927848 0.0
2829621 1 0.13486184 0.13486184 0.18985473 0.18985473 0.18985473 0.0
2860403 1 0.034028333 0.034028333 0.04820057 0.048212864 0.04820057 0.0
2868875 1 0.14540173 0.14540173 0.20523322 0.20578234 0.20523322 0.0
2876696 1 0.028109383 0.028109383 0.039771255 0.039771255 0.039771255 0.0
2876903 2 0.07925379 0.079215184 0.111902505 0.11188985 0.111902505 0.0
2887806 2 0.0 0.0 0.0 0.0 0.0 0.0
2906941 2 0.0 0.0 0.0 0.0 0.0 0.0
2920273 2 0.1159013 0.1159013 0.16297059 0.16358203 0.16358203 0.0
2964707 2 0.066683196 0.066683196 0.09385507 0.094025634 0.094025634 0.0
3015225 1 0.06458679 0.06458679 0.091040574 0.09125463 0.091040574 0.0
3019007 2 0.097559944 0.097559944 0.13794732 0.13794732 0.13794732 0.0
3039763 2 0.026723322 0.026723322 0.037853505 0.03778882 0.037853505 0.0
3053630 1 0.011393812 0.011393812 0.016116068 0.016105555 0.016100077 0.0
3064452 2 0.0 0.0 0.0 0.0 0.0 0.0
3108676 2 0.0 0.0 0.0 0.0 0.0 0.0
3108942 2 0.14370276 0.14370276 0.20314509 0.20326145 0.2033046 0.0
3134172 2 0.045775235 0.045775235 0.06477414 0.06477414 0.06477414 0.0
